CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
2	ENSG00000021574.11	SPAST	32063610	32157637	422	-0.3818490680820125
14	ENSG00000021645.18	NRXN3	78170372	79868290	691	-0.03728465502526098
11	ENSG00000021762.19	OSBPL5	3087115	3165770	799	0.8419985585373311
15	ENSG00000021776.10	AQR	34851781	34969839	525	-0.5720456377996039
X	ENSG00000022267.16	FHL1	136146701	136211359	157	5.588276222571373
20	ENSG00000022277.12	RTFDC1	56468584	56519449	528	-0.15866956782324987
8	ENSG00000022567.9	SLC45A4	141207165	141308305	766	1.5032729080974971
12	ENSG00000022840.15	RNF10	120533479	120577594	566	-0.456978323715306
11	ENSG00000023171.16	GRAMD1B	123358427	123627774	728	0.8818498425309969
2	ENSG00000023228.13	NDUFS1	206114816	206159584	558	-0.022499086246534787
9	ENSG00000023318.7	ERP44	99979178	100099040	508	-0.2943110785658997
3	ENSG00000023330.14	ALAS1	52198085	52214327	488	-0.3709485572329158
11	ENSG00000023445.13	BIRC3	102317449	102339403	487	0.4872203228811429
12	ENSG00000023697.12	DERA	15911171	16037282	674	-0.4643338340454232
12	ENSG00000023734.10	STRAP	15882390	15903478	160	-0.6914069595639641
10	ENSG00000023839.10	ABCC2	99782731	99852192	371	-0.5614692208540337
6	ENSG00000023892.10	DEF6	35297851	35321771	292	0.2584221007428728
1	ENSG00000023902.13	PLEKHO1	150149182	150164720	469	-0.3381750310885677
6	ENSG00000024048.10	UBR2	42564061	42693504	689	-0.3330072626827274
19	ENSG00000024422.11	EHD2	47713342	47743134	611	-0.09165337162663878
6	ENSG00000024862.17	CCDC28A	138773508	138793319	508	-0.32125566760732904
6	ENSG00000025039.14	RRAGD	89364635	89412270	662	-0.07537611715525276
6	ENSG00000025156.12	HSF2	122399545	122433119	555	-0.5114456271925529
1	ENSG00000025800.13	KPNA6	32108037	32176375	328	-0.5276117885587631
10	ENSG00000026025.15	VIM	17228258	17237593	637	3.327451990821512
11	ENSG00000026508.17	CD44	35138869	35232402	784	2.506207776829392
20	ENSG00000026559.13	KCNG1	51003655	51023129	368	-0.5035709575887393
6	ENSG00000026652.13	AGPAT4	161129978	161274061	670	-0.012760230985233116
1	ENSG00000026751.16	SLAMF7	160739056	160754821	442	-0.494566678115889
6	ENSG00000026950.16	BTN3A1	26402236	26415216	538	1.3937323668641652
13	ENSG00000027001.9	MIPEP	23730188	23889419	691	0.3192729747791233
14	ENSG00000027075.14	PRKCH	61187558	61550976	749	-0.253210687404574
6	ENSG00000027697.13	IFNGR1	137197483	137219449	467	-0.11628639015619915
5	ENSG00000027847.13	B4GALT7	177600099	177610347	672	0.045944550311435316
12	ENSG00000028203.17	VEZT	95217745	95302790	691	-0.1165196838706798
6	ENSG00000028839.9	TBPL1	133952169	133988696	487	-0.4824529164208901
12	ENSG00000029153.14	ARNTL2	27332853	27425289	475	-0.6324231269478774
14	ENSG00000029364.11	SLC39A9	69398014	69462388	500	-0.5185978377467573
8	ENSG00000029534.19	ANK1	41653219	41896762	738	0.20964036118863807
6	ENSG00000029639.10	TFB1M	155257723	155314493	687	0.007119254880832424
17	ENSG00000029725.16	RABEP1	5282264	5385812	715	0.6830614935795407
6	ENSG00000030110.12	BAK1	33572546	33580293	627	0.3372967323374613
9	ENSG00000030304.13	MUSK	110668770	110801620	558	0.02656131243821821
2	ENSG00000030419.16	IKZF2	212999690	213152427	707	-0.093712995935683
17	ENSG00000030582.17	GRN	44345085	44353102	541	0.9386902497227226
3	ENSG00000031081.10	ARHGAP31	119294372	119420714	781	-0.3552900300777131
1	ENSG00000031698.12	SARS	109213917	109238169	559	-0.5381379187556496
19	ENSG00000031823.14	RANBP3	5916138	5978142	565	-0.5895808538756512
19	ENSG00000032444.15	PNPLA6	7534009	7561764	771	0.03243137959602427
13	ENSG00000032742.17	IFT88	20567068	20691437	568	-0.4703047851569256
16	ENSG00000033011.11	ALG1	5071818	5087379	577	-0.4401714318950235
7	ENSG00000033050.7	ABCF2	151207836	151227230	623	-0.2375025429223725
7	ENSG00000033100.16	CHPF2	151232488	151238763	562	-0.5274632787589081
1	ENSG00000033122.18	LRRC7	69568397	70151945	546	0.1830424192321695
14	ENSG00000033170.16	FUT8	65410591	65744121	559	-0.1218705288419044
11	ENSG00000033327.12	GAB2	78215296	78418348	421	2.122669759569628
17	ENSG00000033627.16	ATP6V0A1	42458843	42522611	483	-0.42298125377098605
3	ENSG00000033867.16	SLC4A7	27372720	27484420	677	0.029441889761289038
15	ENSG00000034053.14	APBA2	28884482	29118315	416	-0.3919852138410809
17	ENSG00000034152.18	MAP2K3	21284671	21315240	505	-0.5351316778500406
8	ENSG00000034239.10	EFCAB1	48710788	48735311	170	-0.6586970209555819
8	ENSG00000034677.12	RNF19A	100257059	100336218	510	-0.37688831909875065
6	ENSG00000034693.14	PEX3	143450806	143490010	566	-0.5174370305750501
2	ENSG00000035115.21	SH3YL1	217729	266398	633	2.067043747308936
10	ENSG00000035403.17	VCL	73995192	74120254	618	1.1293485751069021
15	ENSG00000035664.11	DAPK2	63907035	64072033	570	1.4375641998741806
8	ENSG00000035681.7	NSMAF	58583503	58659844	546	-0.2055321121088826
1	ENSG00000035687.9	ADSS	244408493	244452134	604	-0.2418494283792757
17	ENSG00000035862.12	TIMP2	78852976	78925387	598	-0.07582560655604897
2	ENSG00000036257.12	CUL3	224470149	224585397	604	-0.4571384792301663
8	ENSG00000036448.9	MYOM2	2045039	2165552	775	4.4169763907367665
14	ENSG00000036530.8	CYP46A1	99684303	99727301	573	-0.5689060658388952
1	ENSG00000036549.12	ZZZ3	77562415	77683419	425	-0.5781802489964873
11	ENSG00000036672.15	USP2	119355214	119381726	549	-0.1714898871703134
5	ENSG00000037280.15	FLT4	180601505	180649624	744	-0.562163471778818
5	ENSG00000037474.14	NSUN2	6599238	6633291	727	1.6561324848450194
5	ENSG00000037749.11	MFAP3	154038936	154220478	709	-0.2502078407907534
19	ENSG00000037757.13	MRI1	13764531	13774167	544	0.7025396549778619
12	ENSG00000037897.16	METTL1	57768470	57772599	369	-0.5600694303715419
4	ENSG00000038219.12	BOD1L1	13568737	13627723	578	-0.2395361786979422
5	ENSG00000038274.16	MAT2B	163503113	163519336	540	-0.40149066608625184
4	ENSG00000038295.7	TLL1	165873257	166103895	717	-0.4379216043982875
16	ENSG00000038358.14	EDC4	67873022	67884503	267	-0.5377710825451065
5	ENSG00000038382.18	TRIO	14143701	14532128	770	0.06020272867919161
5	ENSG00000038427.15	VCAN	83471464	83582303	764	1.2226974986959331
16	ENSG00000038532.14	CLEC16A	10944487	11182189	719	-0.3723529515544624
8	ENSG00000038945.14	MSR1	16107877	16567490	674	0.043375781423645406
16	ENSG00000039068.18	CDH1	68737224	68835548	583	-0.11538144481994153
5	ENSG00000039537.13	C6	41142233	41261438	532	-0.1379109075885807
5	ENSG00000039560.13	RAI14	34656236	34832627	790	1.0255303924925687
19	ENSG00000039650.11	PNKP	49859881	49867909	468	-0.5857502019157184
16	ENSG00000040199.18	PHLPP2	71644750	71724701	647	-0.3860351239503633
5	ENSG00000040275.16	SPDL1	169583633	169604778	432	0.400135806589827
8	ENSG00000040341.17	STAU2	73420368	73747708	711	-0.4154480390032117
1	ENSG00000040487.12	PQLC2	19312325	19329300	563	-0.4793577100555736
17	ENSG00000040531.14	CTNS	3636467	3661542	639	0.42267220745279105
18	ENSG00000041353.9	RAB27B	54717859	54895516	474	-0.6753439484914285
15	ENSG00000041357.15	PSMA4	78540404	78552419	556	0.3127175587235672
13	ENSG00000041515.15	MYO16	108596151	109208007	696	1.1174150478489873
3	ENSG00000041802.10	LSG1	194640787	194672477	762	0.6442587730438879
9	ENSG00000041982.15	TNC	115019577	115118257	761	4.396401968087289
1	ENSG00000041988.15	THAP3	6624865	6634167	513	-0.4995469102995937
20	ENSG00000042062.11	FAM65C	50586107	50691528	630	-0.4612392230558974
14	ENSG00000042088.13	TDP1	89954938	90044768	222	-0.3881316521200657
14	ENSG00000042317.16	SPATA7	88384923	88470350	542	-0.5166785080535626
11	ENSG00000042429.11	MED17	93784226	93814963	461	-0.3001266677407852
2	ENSG00000042445.13	RETSAT	85342087	85354393	623	0.26782743839393586
2	ENSG00000042493.15	CAPG	85394747	85418432	581	3.762519116412743
19	ENSG00000042753.11	AP2S1	46838135	46850992	493	-0.2922068865210822
7	ENSG00000042813.7	ZPBP	49850420	50121329	182	-0.4436906958340435
8	ENSG00000042832.11	TG	132866957	133134903	809	1.2952031855968855
11	ENSG00000043039.6	BARX2	129375939	129452279	497	-0.18628875730825808
3	ENSG00000043093.13	DCUN1D1	182938073	182985953	466	-0.511313316060501
5	ENSG00000043143.20	JADE2	134524311	134583230	722	-0.4595239534778216
5	ENSG00000043462.11	LCP2	170246236	170298227	749	-0.1435616788621486
1	ENSG00000043514.15	TRIT1	39841021	39883511	649	-0.2291915286252496
6	ENSG00000044090.8	CUL7	43037616	43053945	256	-0.3919852138410809
5	ENSG00000044115.20	CTNNA1	138610966	138935034	418	1.7344617704793268
X	ENSG00000044446.11	PHKA2	18892299	18984598	75	3.286624805040056
9	ENSG00000044459.14	CNTLN	17134981	17503923	744	-0.2494034301635175
9	ENSG00000044574.7	HSPA5	125234852	125241330	400	-0.40909502788238855
X	ENSG00000046651.14	OFD1	13734744	13769353	76	1.1614057978039525
8	ENSG00000046889.18	PREX2	67952117	68237030	801	0.7353187013025012
10	ENSG00000047056.14	WDR37	1049537	1132297	740	-0.3573031583519439
5	ENSG00000047188.15	YTHDC2	113513682	113595284	649	-0.19755550882622167
X	ENSG00000047230.14	CTPS2	16588002	16712936	123	3.1864697960177675
4	ENSG00000047365.11	ARAP2	35948220	36244509	746	-0.3059774354833014
1	ENSG00000047410.13	TPR	186311651	186375693	567	-0.15585770965548648
3	ENSG00000047457.13	CP	149162409	149222055	553	0.15797309462952086
6	ENSG00000047579.19	DTNBP1	15522800	15663058	662	-0.488906365887763
X	ENSG00000047597.5	XK	37685758	37732130	70	2.2111507795864345
12	ENSG00000047617.14	ANO2	5531868	5946232	813	-0.2052083385439037
12	ENSG00000047621.11	C12orf4	4487727	4538508	422	-0.4305025677255412
X	ENSG00000047644.18	WWC3	10015561	10144478	194	4.965856038784887
4	ENSG00000047662.4	FAM184B	17635008	17781512	450	-0.3330514099210214
3	ENSG00000047849.21	MAP4	47850689	48089272	542	0.6071395359880445
6	ENSG00000047932.13	GOPC	117560268	117602542	642	-0.4359590349752827
11	ENSG00000048028.11	USP28	113797873	113875570	482	-0.5215512330335557
