#CHR	gene_start	gene_stop	GENE_ID	GENE_NAME	z_score	strand	gene_id	pLI	exac_pLI
chr1	26432281	26471294	ENSG00000117682	DHDDS	-0.3344448966270071	+	ENSG00000117682	0.24533	0.7047
chr1	26472449	26475972	ENSG00000198830	HMGN2	-0.4816203684273018	+	ENSG00000198830	0.86341	0.79667
chr1	26529760	26575030	ENSG00000117676	RPS6KA1	-0.3363620169026902	+	ENSG00000117676	0.0019056	0.72588
chr1	26696031	26782104	ENSG00000117713	ARID1A	-0.426781665728105	+	ENSG00000117713	1.0	1.0
chr1	26787471	26798398	ENSG00000060642	PIGV	-0.6034168713053567	+	ENSG00000060642	1.5131e-08	7.2042e-06
chr1	26826709	26857602	ENSG00000204160	ZDHHC18	-0.1445581881435064	+	ENSG00000204160	0.0024011	0.0011978
chr1	26902281	26946862	ENSG00000090273	NUDC	-0.3832864090317441	+	ENSG00000090273	0.88682	0.82278
chr1	27322144	27336400	ENSG00000186501	TMEM222	-0.5867969132230879	+	ENSG00000186501	3.9417e-06	0.071986
chr1	27342019	27353932	ENSG00000142765	SYTL1	0.1492298018488148	+	ENSG00000142765	1.1537e-11	1.0822e-07
chr1	28236108	28246906	ENSG00000130770	ATPIF1	3.599106371074348	+	ENSG00000130770	0.00010367	0.059354
chr1	28259526	28282491	ENSG00000130766	SESN2	0.2167994674947598	+	ENSG00000130766	4.1912e-07	0.00076371
chr1	28369581	28500369	ENSG00000204138	PHACTR4	0.4785049112230869	+	ENSG00000204138	2.8359e-06	0.0042738
chr1	28505942	28539300	ENSG00000180198	RCC1	-0.4109605499829504	+	ENSG00000180198	0.93109	0.19394
chr1	28553084	28578537	ENSG00000180098	TRNAU1AP	-0.6569494595033787	+	ENSG00000180098	0.00024398	0.88282
chr1	28668731	28719353	ENSG00000162419	GMEB1	-0.6548016350663511	+	ENSG00000162419	0.98549	0.96059
chr1	28887090	29119427	ENSG00000159023	EPB41	0.1239664777505072	+	ENSG00000159023	3.5942e-05	0.06211
chr1	30718503	30726827	ENSG00000186056	MATN1-AS1	-0.5564636910261852	+			
chr1	31296981	31364953	ENSG00000121766	ZCCHC17	0.4916422301648738	+	ENSG00000121766	0.0052857	0.21515
chr1	31409564	31434680	ENSG00000168528	SERINC2	3.6684785903118544	+	ENSG00000168528	3.9153e-13	1.0337e-06
chr1	31576484	31587686	ENSG00000142910	TINAGL1	-0.6905669036022956	+	ENSG00000142910	0.00032933	0.24511
chr1	31644048	31660162	ENSG00000235790	RP11-73M7.6	-0.4405600264127494	+			
chr1	32108037	32176375	ENSG00000025800	KPNA6	-0.4588210969988743	+	ENSG00000025800	0.9994	0.98883
chr1	33256544	33300719	ENSG00000160094	ZNF362	-0.6549291159020411	+	ENSG00000160094	0.94115	0.92829
chr1	33313323	33349245	ENSG00000225313	RP11-415J8.3	0.6876565519734859	+			
chr1	33350351	33363245	ENSG00000233246	RP11-415J8.5	-0.510434141534378	+			
chr1	34781188	34786369	ENSG00000188910	GJB3	-0.4906206361996535	+	ENSG00000188910	0.0021767	0.0027331
chr1	34792997	34795747	ENSG00000187513	GJA4	1.2140151163195003	+	ENSG00000187513	0.055777	0.23914
chr1	36155578	36180849	ENSG00000116871	MAP7D1	-0.3269033421080437	+	ENSG00000116871	0.99199	0.97358
chr1	36323733	36329221	ENSG00000116883	RP11-268J15.5	0.119619531702244	+	ENSG00000116883		
chr1	37474551	37484379	ENSG00000163874	ZC3H12A	-0.6119475748436354	+	ENSG00000163874	0.14015	0.91163
chr1	37556918	37566815	ENSG00000163879	DNALI1	0.1300120528051967	+	ENSG00000163879	4.1201e-11	6.8203e-08
chr1	38991222	39006059	ENSG00000174574	AKIRIN1	-0.0538936452378643	+	ENSG00000174574	0.79347	0.67202
chr1	39026317	39034636	ENSG00000168653	NDUFS5	-0.6096734192320795	+	ENSG00000168653	0.026413	0.098217
chr1	39081315	39487177	ENSG00000127603	MACF1	0.0225493417434857	+	ENSG00000127603	1.0	1.0
chr1	39570479	39573203	ENSG00000228060	RP11-69E11.8	-0.4908425101845731	+			
chr1	39692181	39763914	ENSG00000084072	PPIE	2.8671266166785467	+	ENSG00000084072	0.72832	0.98081
chr1	40344849	40423326	ENSG00000084070	SMAP2	-0.2610369411820052	+	ENSG00000084070	0.017751	0.014286
chr1	40692066	40771603	ENSG00000066136	NFYC	-0.4599596050912003	+	ENSG00000066136	0.10847	0.63196
chr1	40784011	40840452	ENSG00000117013	KCNQ4	-0.4208437199191401	+	ENSG00000117013	0.46799	0.98518
chr1	40979334	41012565	ENSG00000171793	CTPS1	-0.4346847254415614	+	ENSG00000171793	0.99259	0.93219
chr1	41014589	41043890	ENSG00000281207	SLFNL1-AS1	0.0254378298045725	+			
chr1	41361921	41383590	ENSG00000204060	FOXO6	-0.5652716036313625	+	ENSG00000204060	0.40546	0.43758
chr1	42380794	42422578	ENSG00000177181	RIMKLA	-0.6637451607078778	+	ENSG00000177181	0.00063057	0.087395
chr1	42456267	42460414	ENSG00000127125	PPCS	-0.4335794708034171	+	ENSG00000127125	0.0080389	0.0035363
chr1	42463329	42654664	ENSG00000186409	CCDC30	-0.3744628904868845	+	ENSG00000186409	1.4579e-17	6.0667e-12
chr1	42658424	42676758	ENSG00000171960	PPIH	0.2166176782452985	+	ENSG00000171960	7.4626e-05	0.004755
chr1	42682426	42702349	ENSG00000065978	YBX1	-0.4732839522542385	+	ENSG00000065978	0.94646	0.99064
chr1	42785006	42816619	ENSG00000274386	TMEM269	-0.6346612272093589	+			
chr1	42817123	42844989	ENSG00000164010	ERMAP	-0.5118779495279897	+	ENSG00000164010	4.9067e-10	5.8055e-05
chr1	42959294	42983358	ENSG00000227533	SLC2A1-AS1	-0.4082682958840825	+			
chr1	43172863	43254358	ENSG00000243710	CFAP57	0.8743944486586429	+	ENSG00000243710	1.0541e-12	8.5828e-09
chr1	43525186	43623666	ENSG00000142949	PTPRF	0.8642909074610936	+	ENSG00000142949	1.0	1.0
chr1	43650157	43705515	ENSG00000066135	KDM4A	-0.6284588027554598	+	ENSG00000066135	1.0	0.99999
chr1	43705823	43931165	ENSG00000126091	ST3GAL3	-0.2672386477627036	+	ENSG00000126091	0.0025598	0.57399
chr1	43933319	43937241	ENSG00000117407	ARTN	-0.5423286325208272	+	ENSG00000117407	0.35793	0.2931
chr1	43946938	43968022	ENSG00000117408	IPO13	-0.5388258429755902	+	ENSG00000117408	0.99998	0.97244
chr1	43969999	43973369	ENSG00000132768	DPH2	-0.5696800128725786	+	ENSG00000132768	9.0918e-06	0.0068467
chr1	43974486	43978295	ENSG00000117410	ATP6V0B	-0.2371842235639341	+	ENSG00000117410	0.96895	0.92764
chr1	43978942	43991170	ENSG00000117411	B4GALT2	-0.4921914591898561	+	ENSG00000117411	0.19829	0.29542
chr1	43991358	43996482	ENSG00000159214	CCDC24	-0.697705048370909	+	ENSG00000159214	4.3856e-08	2.0111e-08
chr1	44030442	44115913	ENSG00000230615	RP5-1198O20.4	-0.0508964702657769	+			
chr1	44213454	44220681	ENSG00000178028	DMAP1	-0.4905000846678474	+	ENSG00000178028	0.041133	0.33614
chr1	45303909	45305619	ENSG00000281912	LINC01144	-0.8812075992518491	+			
chr1	45500079	45513382	ENSG00000132763	MMACHC	-0.3051705023465032	+	ENSG00000132763	1.1402e-13	5.2563e-14
chr1	45550542	45570049	ENSG00000117448	AKR1A1	-0.4713969311276845	+	ENSG00000117448	6.6621e-07	0.00010749
chr1	45786986	46036124	ENSG00000086015	MAST2	2.0434839512641187	+	ENSG00000086015	1.7079e-19	5.444e-11
chr1	46538695	46570255	ENSG00000269956	MKNK1-AS1	0.6993581807074635	+			
chr1	46674035	46692098	ENSG00000228237	EFCAB14-AS1	-0.1273913085942601	+			
chr1	48222684	48248644	ENSG00000117834	SLC5A9	0.9209026537941548	+	ENSG00000117834	9.2114e-27	6.4196e-13
chr1	50960744	50974633	ENSG00000123080	CDKN2C	-0.1133020200876601	+	ENSG00000123080	0.39526	0.31571
chr1	52142093	52346686	ENSG00000157077	ZFYVE9	-0.5982001440199766	+	ENSG00000157077	0.90244	0.9438
chr1	52404563	52420839	ENSG00000134748	PRPF38A	-0.5571184166476079	+	ENSG00000134748	0.77227	0.99647
chr1	52602371	52609051	ENSG00000116157	GPX7	0.332080061563535	+	ENSG00000116157	5.8451e-06	0.00017976
chr1	52726466	52827342	ENSG00000162378	ZYG11B	-0.2858437675047988	+	ENSG00000162378	0.99836	0.99992
chr1	52927228	53051703	ENSG00000116171	SCP2	0.2440300427500759	+	ENSG00000116171	8.7451e-07	0.00013976
chr1	53062051	53085134	ENSG00000174348	PODN	1.8798154997788483	+	ENSG00000174348	9.5675e-10	5.1968e-07
chr1	53196428	53214098	ENSG00000157184	CPT2	-0.4988504140009137	+	ENSG00000157184	4.598e-10	4.7718e-07
chr1	54053586	54112519	ENSG00000116205	TCEANC2	-0.3168660514206651	+	ENSG00000116205	2.7615e-07	2.813e-05
chr1	54542256	54639192	ENSG00000162390	ACOT11	1.0224948315018323	+	ENSG00000162390	1.0844e-16	1.3334e-10
chr1	54641753	54710266	ENSG00000184313	MROH7	1.3822594809296969	+	ENSG00000184313	4.8111e-24	6.651100000000001e-19
chr1	54715821	54742657	ENSG00000243725	TTC4	0.9505616012433808	+	ENSG00000243725	4.5355e-06	0.043968
chr1	54806062	54842252	ENSG00000162398	LEXM	0.2478137901090149	+	ENSG00000162398	2.1352e-13	2.5331e-11
chr1	54980791	54992293	ENSG00000143001	TMEM61	0.5060479310325398	+	ENSG00000143001	6.0832e-05	0.0043758
chr1	55039547	55064852	ENSG00000169174	PCSK9	0.6620742226731082	+	ENSG00000169174	2.7059e-17	1.0251e-10
chr1	56645321	56715335	ENSG00000162409	PRKAA2	-0.6151289004744859	+	ENSG00000162409	3.5282e-08	1.4426e-05
chr1	58715608	58771295	ENSG00000283445	RP11-63G10.4	-0.5463154438941333	+			
chr1	59296637	59810647	ENSG00000172456	FGGY	-0.3992288148660547	+	ENSG00000172456	3.1851e-18	1.2095e-11
chr1	59814785	59876378	ENSG00000134709	HOOK1	-0.3466379615916456	+	ENSG00000134709	3.8686e-08	4.1567e-05
chr1	60865258	61462793	ENSG00000162599	NFIA	-0.4477177534842474	+	ENSG00000162599	0.99959	0.99956
chr1	61742476	62178675	ENSG00000132849	PATJ	0.2797518726548989	+	ENSG00000132849	1.1917e-50	6.1814e-26
chr1	62194830	62212328	ENSG00000240563	L1TD1	1.6346488912464134	+	ENSG00000240563	5.3285e-07	0.0003402
chr1	62436296	62451804	ENSG00000162607	USP1	-0.5010951724270445	+	ENSG00000162607	0.99691	0.99318
chr1	63367589	63438562	ENSG00000088035	ALG6	-0.4453162224370445	+	ENSG00000088035	0.00030541	0.055368
chr1	63523502	63572693	ENSG00000203965	EFCAB7	-0.3546861118521497	+	ENSG00000203965	2.6115e-17	1.6707e-12
chr1	63547081	63550636	ENSG00000116652	DLEU2L	-0.6644489226449133	+	ENSG00000116652	0.37476	
chr1	63593275	63660245	ENSG00000079739	PGM1	1.5889189367199548	+	ENSG00000079739	5.0551e-15	9.9614e-06
chr1	63774021	64181498	ENSG00000185483	ROR1	-0.079535258241101	+	ENSG00000185483	0.99645	0.90669
chr1	64745094	64833228	ENSG00000162437	RAVER2	-0.2318655385941597	+	ENSG00000162437	1.5171e-08	1.86e-06
chr1	65147548	65232145	ENSG00000162433	AK4	0.9850290271860198	+	ENSG00000162433	0.13353	0.23613
chr1	65248218	65415815	ENSG00000116675	DNAJC6	-0.4877812849347618	+	ENSG00000116675	0.99986	0.99919
chr1	65420586	65436007	ENSG00000213625	LEPROT	0.5819575842649009	+	ENSG00000213625	0.43754	0.094789
chr1	65525688	65641559	ENSG00000116678	LEPR	0.6026222583331068	+	ENSG00000116678	0.99475	0.99981
chr1	65792513	66374579	ENSG00000184588	PDE4B	-0.2867244832322353	+	ENSG00000184588	0.4746	0.70908
chr1	66533382	66748299	ENSG00000118473	SGIP1	1.8897050959345203	+	ENSG00000118473	0.99997	0.99965
chr1	66752459	66778787	ENSG00000152760	TCTEX1D1	0.6591587826809707	+	ENSG00000152760	5.4692e-05	0.0064247
chr1	66924894	66988619	ENSG00000198160	MIER1	-0.2066046963729972	+	ENSG00000198160	0.28881	0.9663
chr1	67307363	67396900	ENSG00000081985	IL12RB2	0.300764713775383	+	ENSG00000081985	1.6212e-09	4.51e-06
chr1	67685060	67688338	ENSG00000116717	GADD45A	-0.3177179305811227	+	ENSG00000116717	0.044075	0.10985
chr1	67832302	68202987	ENSG00000232284	GNG12-AS1	2.0763885575358496	+			
chr1	70411217	70439851	ENSG00000116761	CTH	-0.4588210969988743	+	ENSG00000116761	7.482e-08	4.0879e-05
chr1	74198211	74234086	ENSG00000254685	FPGT	-0.2825177125788377	+	ENSG00000254685	1.0949e-10	5.971e-08
chr1	75724346	75786196	ENSG00000117054	ACADM	1.5323255203951367	+	ENSG00000117054	2.0548e-12	8.4448e-10
chr1	75786698	75795079	ENSG00000137955	RABGGTB	-0.3357806361285335	+	ENSG00000137955	0.007867	0.44947
chr1	75796881	75913238	ENSG00000057468	MSH4	-0.3492881304502908	+	ENSG00000057468	2.1195e-18	3.6995e-15
chr1	76074718	76634601	ENSG00000184005	ST6GALNAC3	-0.2955587561386023	+	ENSG00000184005	0.00026424	0.17847
chr1	77282050	77559969	ENSG00000154027	AK5	-0.0894497878630004	+	ENSG00000154027	0.0033057	0.1395
chr1	78303883	78539749	ENSG00000122420	PTGFR	0.4777750601707656	+	ENSG00000122420	0.066085	0.76004
chr1	78619921	78646145	ENSG00000137959	IFI44L	0.0223137583114895	+	ENSG00000137959	1.3464e-12	2.2184e-10
chr1	82903182	83166815	ENSG00000230817	LINC01362	0.2099197239687786	+			
chr1	85277640	85448124	ENSG00000223653	RP11-131L23.1	0.9994180179221102	+			
chr1	87129764	87169198	ENSG00000267272	LINC01140	-0.3017161433008721	+			
chr1	87328467	87348923	ENSG00000143013	LMO4	-0.2164092759610981	+	ENSG00000143013	0.67667	0.81603
chr1	88684221	88836255	ENSG00000065243	PKN2	-0.4192873849653446	+	ENSG00000065243	1.0	1.0
chr1	89629724	89676386	ENSG00000230735	RP11-413E1.4	-0.5939411905928603	+			
chr1	89995111	90035531	ENSG00000162664	ZNF326	-0.4321901842470905	+	ENSG00000162664	0.90182	0.97792
chr1	94418454	94518666	ENSG00000117528	ABCD3	0.0134501443030594	+	ENSG00000117528	0.0078364	0.9997
chr1	94820341	94895246	ENSG00000143036	SLC44A3	1.0001111408591157	+	ENSG00000143036	3.5957e-27	1.82e-24
chr1	94927565	94963270	ENSG00000235501	RP4-639F20.1	-0.4510708859483609	+			
chr1	96721664	96823738	ENSG00000117569	PTBP2	-0.1018988100546489	+	ENSG00000117569	0.99883	0.99269
chr1	97095922	97322955	ENSG00000232878	DPYD-AS1	-0.4321368060474941	+			
chr1	98661700	98760500	ENSG00000162627	SNX7	-0.3936696261141	+	ENSG00000162627	3.7323e-05	0.028839
chr1	99645942	99694541	ENSG00000099260	PALMD	2.7506287417591344	+	ENSG00000099260	0.00033855	0.036952
chr1	99850083	99924023	ENSG00000162688	AGL	0.0947051234163409	+	ENSG00000162688	2.7564e-27	2.3093e-15
chr1	100038096	100083377	ENSG00000156875	MFSD14A	-0.4355336282434821	+	ENSG00000156875	0.97172	0.98324
chr1	100133149	100150497	ENSG00000122435	TRMT13	-0.5023150147230466	+	ENSG00000122435	1.039e-07	2.9297e-05
chr1	100351733	100520277	ENSG00000079335	CDC14A	-0.6807439851292727	+	ENSG00000079335	9.6376e-08	0.015618
chr1	100719741	100739045	ENSG00000162692	VCAM1	0.1132319887099269	+	ENSG00000162692	0.79791	0.7815
chr1	101236887	101241518	ENSG00000170989	S1PR1	0.022597735689456	+	ENSG00000170989	0.73269	0.48481
chr1	103525690	103555239	ENSG00000185946	RNPC3	-0.1870674954194928	+	ENSG00000185946	0.00019596	0.5253
chr1	108746687	108809526	ENSG00000116266	STXBP3	-0.0972948087415334	+	ENSG00000116266	5.1597e-05	7.3966e-06
chr1	108875349	108934545	ENSG00000121957	GPSM2	0.3231364294793683	+	ENSG00000121957	7.6958e-11	2.9413e-10
chr1	109090858	109096934	ENSG00000215717	TMEM167B	0.1564864032650165	+	ENSG00000215717	0.68405	0.63248
chr1	109113857	109203231	ENSG00000116299	KIAA1324	1.6036410649290644	+	ENSG00000116299	7.0266e-13	2.1486e-08
chr1	109213917	109238169	ENSG00000031698	SARS	-0.5249393488713004	+	ENSG00000031698	0.99925	0.99915
chr1	109250018	109275750	ENSG00000143126	CELSR2	1.0801545567372648	+	ENSG00000143126	0.99994	1.0
chr1	109466627	109482137	ENSG00000143028	SYPL2	3.328865210959433	+	ENSG00000143028	1.8911e-05	0.016771
chr1	109483478	109492734	ENSG00000162650	ATXN7L2	-0.6356654894172713	+	ENSG00000162650	0.87066	0.71895
chr1	109494051	109502932	ENSG00000174151	CYB561D1	-0.5286895409805693	+	ENSG00000174151	7.1834e-05	0.01583
chr1	109548610	109618321	ENSG00000065135	GNAI3	-0.3951694268742793	+	ENSG00000065135	0.038287	0.038811
chr1	109619503	109632051	ENSG00000116337	AMPD2	-0.3785771392036194	+	ENSG00000116337	4.5084e-07	0.0085425
