CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	count_fdr_0p1	pctile_fdr_0p1	z_score	ens_version	status
1	ENSG00000227372	TP73-AS1	3736201	3747336	199	18	0.090452261	-0.270719803	11	autosome
1	ENSG00000130764	LRRC47	3778557	3796504	239	18	0.075313808	-0.370414289	9	autosome
1	ENSG00000116198	CEP104	3812080	3857214	215	33	0.153488372	0.144405333	12	autosome
1	ENSG00000169598	DFFB	3857266	3885429	267	32	0.119850187	-0.077119375	15	autosome
1	ENSG00000198912	C1orf174	3889124	3900285	192	34	0.177083333	0.29979026	10	autosome
1	ENSG00000196581	AJAP1	4654731	4792534	221	60	0.271493213	0.92152776	10	autosome
1	ENSG00000069424	KCNAB2	5991465	6101193	254	74	0.291338583	1.052219704	14	autosome
1	ENSG00000116254	CHD5	6101792	6180123	207	26	0.125603865	-0.039228457	17	autosome
1	ENSG00000116251	RPL22	6181268	6209389	202	16	0.079207921	-0.344769555	9	autosome
1	ENSG00000158286	RNF207	6206175	6221192	170	42	0.247058824	0.760614769	12	autosome
1	ENSG00000158292	GPR153	6247345	6260975	152	50	0.328947368	1.299892857	6	autosome
1	ENSG00000171735	CAMTA1	6785323	7769706	273	31	0.113553114	-0.118588837	18	autosome
1	ENSG00000049245	VAMP3	7771268	7781432	240	28	0.116666667	-0.098084492	12	autosome
1	ENSG00000269925	RP3-467L1.6	7776382	7776775	127	7	0.05511811	-0.503413318	1	autosome
1	ENSG00000049246	PER3	7784319	7845177	241	38	0.157676349	0.171985307	14	autosome
1	ENSG00000236266	RP3-467L1.4	7810241	7827117	230	25	0.108695652	-0.150577712	1	autosome
1	ENSG00000116288	PARK7	7954290	7985505	175	23	0.131428571	-0.000869774	12	autosome
1	ENSG00000116285	ERRFI1	8004403	8026308	186	77	0.413978495	1.859866455	12	autosome
1	ENSG00000162426	SLC45A1	8317825	8344167	230	11	0.047826087	-0.551435033	14	autosome
1	ENSG00000142599	RERE	8352396	8817643	247	94	0.380566802	1.639833312	17	autosome
1	ENSG00000232912	RP5-1115A15.1	8424644	8434838	132	2	0.015151515	-0.766613855	5	autosome
1	ENSG00000074800	ENO1	8861001	8879249	167	34	0.203592814	0.474368795	13	autosome
1	ENSG00000142583	SLC2A5	9035106	9088478	204	56	0.274509804	0.941393561	17	autosome
1	ENSG00000228526	MIR34AHG	9148010	9196983	243	7	0.028806584	-0.676688217	6	autosome
1	ENSG00000234546	LINC01759	9183750	9196284	218	3	0.013761468	-0.77576803	3	autosome
1	ENSG00000171621	SPSB1	9292879	9369532	256	42	0.1640625	0.214041391	13	autosome
1	ENSG00000171612	SLC25A33	9539481	9585179	77	4	0.051948052	-0.524289779	6	autosome
1	ENSG00000188807	TMEM201	9588921	9614873	96	3	0.03125	-0.660597072	12	autosome
1	ENSG00000171608	PIK3CD	9651731	9729025	187	9	0.048128342	-0.549444527	15	autosome
1	ENSG00000171603	CLSTN1	9729114	9824526	140	16	0.114285714	-0.113764285	16	autosome
1	ENSG00000178585	CTNNBIP1	9848275	9910336	111	34	0.306306306	1.150789845	14	autosome
1	ENSG00000162441	LZIC	9922112	9943407	141	10	0.070921986	-0.399336688	11	autosome
1	ENSG00000142655	PEX14	10474886	10630758	224	12	0.053571429	-0.513599011	12	autosome
1	ENSG00000130940	CASZ1	10636603	10796650	241	9	0.037344398	-0.620462331	14	autosome
1	ENSG00000272078	RP4-734G22.3	10640059	10654333	199	7	0.035175879	-0.634743141	1	autosome
1	ENSG00000171824	EXOSC10	11066617	11098156	121	11	0.090909091	-0.267711345	13	autosome
1	ENSG00000226849	RP4-635E18.7	11068470	11073097	117	9	0.076923077	-0.359816424	1	autosome
1	ENSG00000198793	MTOR	11106534	11262507	126	20	0.158730159	0.178925187	12	autosome
1	ENSG00000225602	MTOR-AS1	11143897	11149537	100	8	0.08	-0.339553307	5	autosome
1	ENSG00000132879	FBXO44	11654856	11663327	177	25	0.141242938	0.063762865	13	autosome
1	ENSG00000116663	FBXO6	11664123	11674354	123	12	0.097560976	-0.223905271	10	autosome
1	ENSG00000116670	MAD2L2	11674479	11691650	137	2	0.01459854	-0.770255479	14	autosome
1	ENSG00000177674	AGTRAP	11736083	11754802	217	53	0.244239631	0.742048942	15	autosome
1	ENSG00000177000	MTHFR	11785722	11806920	227	71	0.31277533	1.193391688	10	autosome
1	ENSG00000011021	CLCN6	11807130	11843144	172	25	0.145348837	0.090802319	21	autosome
1	ENSG00000242349	NPPA-AS1	11843703	11848079	116	80	0.689655172	3.675338836	5	autosome
1	ENSG00000175206	NPPA	11845766	11848345	105	79	0.752380952	4.088420284	10	autosome
1	ENSG00000116688	MFN2	11980180	12013514	184	82	0.445652174	2.068453886	16	autosome
1	ENSG00000116691	MIIP	12019465	12032045	180	27	0.15	0.121432612	10	autosome
1	ENSG00000028137	TNFRSF1B	12167038	12209228	229	28	0.122270742	-0.061178778	18	autosome
1	ENSG00000162496	DHRS3	12567909	12617731	254	36	0.141732283	0.066985457	8	autosome
1	ENSG00000162494	LRRC38	13474976	13514048	121	10	0.082644628	-0.322137074	5	autosome
1	ENSG00000162493	PDPN	13583464	13617957	231	85	0.367965368	1.556846405	16	autosome
1	ENSG00000116731	PRDM2	13700197	13825079	227	20	0.088105727	-0.286172936	22	autosome
1	ENSG00000189337	KAZN	13892791	15118043	278	105	0.377697842	1.620939739	16	autosome
1	ENSG00000175147	TMEM51-AS1	15111814	15152464	233	99	0.424892704	1.931742123	11	autosome
1	ENSG00000171729	TMEM51	15152531	15220480	246	74	0.300813008	1.114613658	13	autosome
1	ENSG00000142621	FHAD1	15247271	15400283	192	21	0.109375	-0.146103858	19	autosome
1	ENSG00000142634	EFHD2	15409894	15430343	170	15	0.088235294	-0.285319669	12	autosome
1	ENSG00000142615	CELA2A	15456727	15472091	114	29	0.254385965	0.808867755	7	autosome
1	ENSG00000215704	CELA2B	15465908	15487437	154	25	0.162337662	0.20268245	9	autosome
1	ENSG00000132906	CASP9	15490831	15526534	190	55	0.289473684	1.039938391	17	autosome
1	ENSG00000116138	DNAJC16	15526812	15592379	191	15	0.078534031	-0.349207462	12	autosome
1	ENSG00000116771	AGMAT	15572352	15585110	111	13	0.117117117	-0.095118044	5	autosome
1	ENSG00000197312	DDI2	15617499	15669044	205	9	0.043902439	-0.577274268	11	autosome
1	ENSG00000116786	PLEKHM2	15684331	15734769	217	25	0.115207373	-0.107694688	11	autosome
1	ENSG00000237938	RP11-288I21.1	15720311	15736896	211	31	0.146919431	0.101145487	5	autosome
1	ENSG00000162458	FBLIM1	15756606	15786594	205	25	0.12195122	-0.063283	12	autosome
1	ENSG00000173641	HSPB7	16014027	16019594	214	179	0.836448598	4.642048868	17	autosome
1	ENSG00000142632	ARHGEF19	16198216	16212609	168	80	0.476190476	2.269564276	16	autosome
1	ENSG00000037637	FBXO42	16246838	16352454	204	16	0.078431373	-0.349883523	10	autosome
1	ENSG00000055070	SZRD1	16352574	16398145	167	10	0.05988024	-0.472052253	16	autosome
1	ENSG00000187144	SPATA21	16387125	16437424	167	10	0.05988024	-0.472052253	11	autosome
1	ENSG00000157191	NECAP2	16440671	16460078	210	13	0.061904762	-0.458719735	19	autosome
1	ENSG00000080947	CROCCP3	16467435	16499257	241	19	0.078838174	-0.347204525	14	autosome
1	ENSG00000219481	NBPF1	16562318	16613562	161	14	0.086956522	-0.293741041	10	autosome
1	ENSG00000215908	CROCCP2	16618252	16657232	78	13	0.166666667	0.231191165	10	autosome
1	ENSG00000186301	MST1P2	16645621	16650289	78	13	0.166666667	0.231191165	8	autosome
1	ENSG00000238142	RP11-108M9.4	16888537	16889649	140	8	0.057142857	-0.490079321	1	autosome
1	ENSG00000117122	MFAP2	16974501	16980835	177	54	0.305084746	1.142745242	13	autosome
1	ENSG00000226526	RP1-37C10.3	16978925	17005091	166	40	0.240963855	0.720476277	1	autosome
1	ENSG00000159363	ATP13A2	16985957	17011928	166	40	0.240963855	0.720476277	17	autosome
1	ENSG00000117115	PADI2	17066760	17119435	214	127	0.593457944	3.041830725	12	autosome
1	ENSG00000142623	PADI1	17205125	17246005	135	38	0.281481481	0.987305635	9	autosome
1	ENSG00000142619	PADI3	17249097	17284233	35	4	0.114285714	-0.113764285	4	autosome
1	ENSG00000159339	PADI4	17308194	17364004	121	35	0.289256198	1.038506135	13	autosome
1	ENSG00000179051	RCC2	17407004	17439724	226	26	0.115044248	-0.108768953	13	autosome
1	ENSG00000074964	ARHGEF10L	17539834	17697869	256	43	0.16796875	0.239766052	16	autosome
1	ENSG00000117154	IGSF21	18107745	18378482	216	14	0.064814815	-0.439555543	11	autosome
1	ENSG00000179023	KLHDC7A	18480981	18486126	137	50	0.364963504	1.537077588	8	autosome
1	ENSG00000159423	ALDH4A1	18871429	18902781	255	67	0.262745098	0.863916936	16	autosome
1	ENSG00000169991	IFFO2	18904280	18956686	186	17	0.091397849	-0.264492619	10	autosome
1	ENSG00000272084	RP5-1126H10.2	19072109	19075511	193	19	0.098445596	-0.218079593	1	autosome
1	ENSG00000127481	UBR4	19076739	19210276	224	46	0.205357143	0.485987804	14	autosome
1	ENSG00000230424	RP1-43E13.2	19210500	19240296	222	19	0.085585586	-0.302769359	1	autosome
1	ENSG00000127463	EMC1	19215663	19251538	224	17	0.075892857	-0.36660095	13	autosome
1	ENSG00000053372	MRTO4	19251552	19260128	213	35	0.164319249	0.215732214	4	autosome
1	ENSG00000077549	CAPZB	19338775	19485539	225	40	0.177777778	0.304363533	17	autosome
1	ENSG00000173436	MINOS1	19596976	19629821	203	24	0.118226601	-0.087811524	13	autosome
1	ENSG00000158747	NBL1	19640553	19658456	244	108	0.442622951	2.048504897	13	autosome
1	ENSG00000162542	TMCO4	19682212	19799945	260	12	0.046153846	-0.562447597	13	autosome
1	ENSG00000169914	OTUD3	19882512	19912945	195	20	0.102564103	-0.190957113	5	autosome
1	ENSG00000127472	PLA2G5	20028178	20091190	214	76	0.355140187	1.472386007	10	autosome
1	ENSG00000244038	DDOST	20652193	20661544	213	20	0.093896714	-0.248036317	9	autosome
1	ENSG00000075151	EIF4G3	20806291	21176888	153	19	0.124183007	-0.048585537	20	autosome
1	ENSG00000117298	ECE1	21217246	21345504	247	58	0.234817814	0.680001439	14	autosome
1	ENSG00000142794	NBPF3	21440127	21485005	182	55	0.302197802	1.123733237	18	autosome
1	ENSG00000162551	ALPL	21509371	21578412	247	117	0.473684211	2.253059231	13	autosome
1	ENSG00000090686	USP48	21678297	21783606	258	41	0.158914729	0.180140675	15	autosome
1	ENSG00000187942	LDLRAD2	21812264	21825221	189	51	0.26984127	0.910648869	11	autosome
1	ENSG00000142798	HSPG2	21827862	21937297	219	83	0.378995434	1.629485048	17	autosome
1	ENSG00000219073	CELA3B	21977020	21998642	31	15	0.483870968	2.320144254	7	autosome
1	ENSG00000184677	ZBTB40	22451850	22531157	206	29	0.140776699	0.060692443	16	autosome
1	ENSG00000159189	C1QC	22643629	22648110	183	23	0.12568306	-0.038706914	11	autosome
1	ENSG00000173369	C1QB	22652761	22661538	161	7	0.043478261	-0.580067699	15	autosome
1	ENSG00000133216	EPHB2	22710838	22921500	147	1	0.006802721	-0.821594948	16	autosome
1	ENSG00000204219	TCEA3	23381060	23424740	247	68	0.275303644	0.946621403	9	autosome
1	ENSG00000007968	E2F2	23506429	23531220	136	6	0.044117647	-0.575857013	6	autosome
1	ENSG00000117318	ID3	23557917	23559794	204	57	0.279411765	0.973675488	8	autosome
1	ENSG00000142676	RPL11	23691778	23696425	167	13	0.077844311	-0.353749622	12	autosome
1	ENSG00000011007	ELOA	23743154	23762059	188	10	0.053191489	-0.516101105	12	autosome
1	ENSG00000057757	PITHD1	23778404	23788232	153	10	0.065359477	-0.435968662	9	autosome
1	ENSG00000117305	HMGCL	23801884	23838620	163	12	0.073619632	-0.381571304	14	autosome
1	ENSG00000179163	FUCA1	23845076	23868294	166	19	0.114457831	-0.112630806	11	autosome
1	ENSG00000188822	CNR2	23870525	23913362	87	1	0.011494253	-0.790698804	7	autosome
1	ENSG00000189266	PNRC2	23959108	23963462	177	36	0.203389831	0.473032042	11	autosome
1	ENSG00000188529	SRSF10	23964803	23980927	167	15	0.089820359	-0.274881202	14	autosome
1	ENSG00000225315	RP11-293P20.2	24040834	24064273	109	16	0.146788991	0.100286469	2	autosome
1	ENSG00000142661	MYOM3	24056034	24112175	194	55	0.283505155	1.000632561	18	autosome
1	ENSG00000001461	NIPAL3	24419290	24472976	223	32	0.143497758	0.078612011	16	autosome
1	ENSG00000117602	RCAN3	24502350	24541040	174	14	0.08045977	-0.336525484	11	autosome
1	ENSG00000169504	CLIC4	24745356	24844324	145	12	0.082758621	-0.321386374	14	autosome
1	ENSG00000117616	RSRP1	25242236	25337916	190	15	0.078947368	-0.346485426	17	autosome
1	ENSG00000183726	TMEM50A	25338213	25362248	168	66	0.392857143	1.720771515	10	autosome
1	ENSG00000204178	TMEM57	25430857	25500209	175	17	0.097142857	-0.226658796	9	autosome
1	ENSG00000157978	LDLRAP1	25543579	25568886	190	77	0.405263158	1.80247149	11	autosome
1	ENSG00000117643	MAN1C1	25617467	25786207	243	15	0.061728395	-0.459881201	14	autosome
1	ENSG00000117682	DHDDS	26432281	26471294	217	15	0.069124424	-0.411174555	16	autosome
1	ENSG00000198830	HMGN2	26472449	26475972	118	3	0.025423729	-0.698966057	10	autosome
1	ENSG00000117676	RPS6KA1	26529760	26575030	242	16	0.066115702	-0.43098853	13	autosome
1	ENSG00000117713	ARID1A	26696031	26782104	116	10	0.086206897	-0.298677708	18	autosome
1	ENSG00000060642	PIGV	26787471	26798398	67	3	0.044776119	-0.571520635	10	autosome
1	ENSG00000204160	ZDHHC18	26826709	26857602	197	21	0.106598985	-0.164385343	11	autosome
1	ENSG00000142751	GPN2	26876310	26890297	156	2	0.012820513	-0.781964701	14	autosome
1	ENSG00000090273	NUDC	26902281	26946862	139	10	0.071942446	-0.392616434	13	autosome
1	ENSG00000090020	SLC9A1	27098814	27166981	145	3	0.020689655	-0.730142361	10	autosome
1	ENSG00000186501	TMEM222	27322144	27336400	168	9	0.053571429	-0.513599011	14	autosome
1	ENSG00000142765	SYTL1	27342019	27353932	198	28	0.141414141	0.064890328	17	autosome
1	ENSG00000158195	WASF2	27404225	27490158	92	5	0.054347826	-0.508486035	10	autosome
1	ENSG00000000938	FGR	27612063	27635277	98	2	0.020408163	-0.73199613	12	autosome
1	ENSG00000117748	RPA2	27891523	27914746	154	58	0.376623377	1.613863835	9	autosome
1	ENSG00000126698	DNAJC8	28199455	28233025	142	6	0.042253521	-0.588133239	10	autosome
1	ENSG00000130770	ATPIF1	28236108	28246906	147	99	0.673469388	3.568747139	17	autosome
1	ENSG00000270605	RP5-1092A3.4	28239508	28241453	119	103	0.865546218	4.833671629	1	autosome
1	ENSG00000130766	SESN2	28259526	28282491	57	10	0.175438596	0.288958824	4	autosome
1	ENSG00000204138	PHACTR4	28369581	28500369	186	38	0.204301075	0.479033057	12	autosome
1	ENSG00000180198	RCC1	28505942	28539300	185	15	0.081081081	-0.332433833	15	autosome
1	ENSG00000180098	TRNAU1AP	28553084	28578537	152	2	0.013157895	-0.779742868	9	autosome
1	ENSG00000197989	SNHG12	28578545	28582983	97	7	0.072164948	-0.391151141	13	autosome
1	ENSG00000120656	TAF12	28589322	28643085	73	5	0.068493151	-0.415331814	11	autosome
1	ENSG00000162419	GMEB1	28668731	28719353	127	3	0.023622047	-0.710831055	12	autosome
1	ENSG00000159023	EPB41	28887090	29119427	231	34	0.147186147	0.102901948	19	autosome
1	ENSG00000116350	SRSF4	29147742	29181987	206	13	0.063106796	-0.450803723	16	autosome
1	ENSG00000116353	MECR	29192872	29230942	181	12	0.066298343	-0.429785752	15	autosome
1	ENSG00000186056	MATN1-AS1	30718503	30726827	162	4	0.024691358	-0.703789095	9	autosome
1	ENSG00000162511	LAPTM5	30732468	30757820	230	52	0.226086957	0.622504264	7	autosome
1	ENSG00000060688	SNRNP40	31259567	31296782	157	10	0.063694268	-0.446934922	12	autosome
1	ENSG00000121766	ZCCHC17	31296981	31364953	154	30	0.194805195	0.416497811	15	autosome
1	ENSG00000168528	SERINC2	31409564	31434680	209	156	0.746411483	4.049108266	11	autosome
1	ENSG00000142910	TINAGL1	31576484	31587686	186	4	0.021505376	-0.724770419	15	autosome
1	ENSG00000235790	RP11-73M7.6	31644048	31660162	148	7	0.047297297	-0.554917385	7	autosome
1	ENSG00000084636	COL16A1	31652246	31704319	226	67	0.296460177	1.085948031	17	autosome
1	ENSG00000121753	ADGRB2	31727116	31764893	157	9	0.057324841	-0.488880865	12	autosome
1	ENSG00000269967	RP11-84A19.4	31851912	31921841	64	5	0.078125	-0.351901144	1	autosome
1	ENSG00000184007	PTP4A2	31906420	31944856	75	5	0.066666667	-0.427360148	18	autosome
1	ENSG00000025800	KPNA6	32108037	32176375	123	6	0.048780488	-0.545149814	13	autosome
1	ENSG00000160058	BSDC1	32365102	32394448	110	6	0.054545455	-0.50718455	18	autosome
1	ENSG00000160094	ZNF362	33256544	33300719	199	10	0.050251256	-0.535464049	14	autosome
1	ENSG00000184389	A3GALT2	33306765	33321098	172	7	0.040697674	-0.598379288	9	autosome
1	ENSG00000225313	RP11-415J8.3	33313323	33349245	219	48	0.219178082	0.577005781	5	autosome
1	ENSG00000134686	PHC2	33323622	33431052	230	49	0.213043478	0.536606266	18	autosome
1	ENSG00000233246	RP11-415J8.5	33350351	33363245	196	7	0.035714286	-0.631197459	1	autosome
1	ENSG00000163866	SMIM12	34712736	34859816	273	93	0.340659341	1.377022204	8	autosome
1	ENSG00000188910	GJB3	34781188	34786369	163	7	0.042944785	-0.58358091	7	autosome
1	ENSG00000187513	GJA4	34792997	34795747	200	50	0.25	0.779983925	8	autosome
1	ENSG00000116871	MAP7D1	36155578	36180849	136	10	0.073529412	-0.38216545	15	autosome
1	ENSG00000116883	RP11-268J15.5	36323733	36329221	203	31	0.15270936	0.139275136	8	autosome
1	ENSG00000196182	STK40	36339623	36385896	167	6	0.035928144	-0.629789095	10	autosome
1	ENSG00000181817	LSM10	36391237	36397892	168	11	0.06547619	-0.435200045	5	autosome
1	ENSG00000116885	OSCP1	36415826	36450451	207	12	0.057971014	-0.48462548	18	autosome
1	ENSG00000116898	MRPS15	36455717	36464437	219	14	0.063926941	-0.44540265	11	autosome
1	ENSG00000119535	CSF3R	36466042	36483278	202	21	0.103960396	-0.181761804	17	autosome
1	ENSG00000233621	LINC01137	37454878	37474411	178	10	0.056179775	-0.496421709	1	autosome
1	ENSG00000163874	ZC3H12A	37474551	37484379	208	7	0.033653846	-0.644766511	10	autosome
1	ENSG00000163875	MEAF6	37492574	37514774	202	16	0.079207921	-0.344769555	15	autosome
1	ENSG00000163877	SNIP1	37534448	37554344	200	12	0.06	-0.471263569	10	autosome
1	ENSG00000163879	DNALI1	37556918	37566815	173	13	0.075144509	-0.371529208	10	autosome
1	ENSG00000169218	RSPO1	37611349	37634923	157	12	0.076433121	-0.363043035	13	autosome
1	ENSG00000196449	YRDC	37802943	37806976	195	5	0.025641026	-0.697535046	3	autosome
1	ENSG00000188786	MTF1	37809566	37859620	209	7	0.033492823	-0.645826932	9	autosome
1	ENSG00000204084	INPP5B	37861091	37947057	221	44	0.199095023	0.444748529	12	autosome
1	ENSG00000183431	SF3A3	37956974	37990921	198	50	0.252525253	0.796614009	11	autosome
1	ENSG00000183386	FHL3	37996769	38005606	145	95	0.655172414	3.448252176	9	autosome
1	ENSG00000158315	RHBDL2	38885806	38941799	210	15	0.071428571	-0.396000562	10	autosome
1	ENSG00000174574	AKIRIN1	38991222	39006059	199	27	0.135678392	0.027117475	15	autosome
1	ENSG00000168653	NDUFS5	39026317	39034636	79	1	0.012658228	-0.783033431	10	autosome
1	ENSG00000127603	MACF1	39081315	39487177	225	25	0.111111111	-0.134670676	23	autosome
1	ENSG00000182109	RP11-69E11.4	39522279	39546187	225	192	0.853333333	4.753243514	7	autosome
1	ENSG00000090621	PABPC4	39560815	39576790	180	24	0.133333333	0.01167406	13	autosome
1	ENSG00000228060	RP11-69E11.8	39570479	39573203	115	6	0.052173913	-0.522802368	1	autosome
1	ENSG00000163909	HEYL	39624152	39639945	214	14	0.065420561	-0.435566395	7	autosome
1	ENSG00000116983	HPCAL4	39678647	39691689	165	32	0.193939394	0.410796068	12	autosome
1	ENSG00000084072	PPIE	39692181	39763914	215	123	0.572093023	2.901131759	16	autosome
1	ENSG00000116985	BMP8B	39757181	39788861	207	42	0.202898551	0.469796713	11	autosome
1	ENSG00000049089	COL9A2	40300486	40317294	143	19	0.132867133	0.008603891	13	autosome
1	ENSG00000084070	SMAP2	40344849	40423326	196	22	0.112244898	-0.127204108	11	autosome
1	ENSG00000117016	RIMS3	40620678	40665657	198	10	0.050505051	-0.533792684	9	autosome
1	ENSG00000237899	RP4-739H11.3	40669088	40687588	157	8	0.050955414	-0.530826809	1	autosome
1	ENSG00000066136	NFYC	40692066	40771603	217	17	0.078341014	-0.350478582	20	autosome
1	ENSG00000117013	KCNQ4	40784011	40840452	241	19	0.078838174	-0.347204525	14	autosome
1	ENSG00000179862	CITED4	40861050	40862366	139	18	0.129496403	-0.013594096	6	autosome
1	ENSG00000171793	CTPS1	40979334	41012565	142	6	0.042253521	-0.588133239	13	autosome
1	ENSG00000281207	SLFNL1-AS1	41014589	41043890	194	20	0.103092784	-0.187475478	1	autosome
1	ENSG00000010803	SCMH1	41027199	41242116	202	18	0.089108911	-0.279566454	16	autosome
1	ENSG00000204060	FOXO6	41361921	41383590	167	3	0.017964072	-0.748091726	6	autosome
1	ENSG00000127129	EDN2	41478774	41484673	58	15	0.25862069	0.83675559	9	autosome
1	ENSG00000127124	HIVEP3	41506364	42035925	277	36	0.129963899	-0.010515394	14	autosome
1	ENSG00000198815	FOXJ3	42176538	42335877	217	11	0.050691244	-0.532566502	8	autosome
1	ENSG00000177181	RIMKLA	42380794	42422578	202	5	0.024752475	-0.703386606	14	autosome
1	ENSG00000127125	PPCS	42456267	42460414	141	8	0.056737589	-0.492748222	8	autosome
1	ENSG00000186409	CCDC30	42463329	42654664	204	14	0.068627451	-0.414447377	14	autosome
1	ENSG00000171960	PPIH	42658424	42676758	207	11	0.053140097	-0.516439553	10	autosome
1	ENSG00000065978	YBX1	42682426	42702349	173	7	0.040462428	-0.599928508	18	autosome
1	ENSG00000274386	TMEM269	42785006	42816619	164	9	0.054878049	-0.504994246	5	autosome
1	ENSG00000164010	ERMAP	42817123	42844989	225	9	0.04	-0.602973832	13	autosome
1	ENSG00000117394	SLC2A1	42925374	42959048	206	87	0.422330097	1.914866043	20	autosome
1	ENSG00000227533	SLC2A1-AS1	42959294	42983358	183	14	0.076502732	-0.362584609	5	autosome
1	ENSG00000117395	EBNA1BP2	43164174	43270936	176	45	0.255681818	0.817401614	12	autosome
1	ENSG00000243710	CFAP57	43172863	43254358	133	31	0.233082707	0.668574869	7	autosome
1	ENSG00000142949	PTPRF	43525186	43623666	226	63	0.278761062	0.969390277	16	autosome
1	ENSG00000066135	KDM4A	43650157	43705515	173	3	0.01734104	-0.752194707	12	autosome
1	ENSG00000126091	ST3GAL3	43705823	43931165	197	13	0.065989848	-0.431817348	19	autosome
1	ENSG00000117407	ARTN	43933319	43937241	101	9	0.089108911	-0.279566454	16	autosome
1	ENSG00000117408	IPO13	43946938	43968022	104	4	0.038461538	-0.61310539	10	autosome
1	ENSG00000132768	DPH2	43969999	43973369	109	3	0.027522936	-0.685141702	13	autosome
1	ENSG00000117410	ATP6V0B	43974486	43978295	100	12	0.12	-0.076132781	13	autosome
1	ENSG00000117411	B4GALT2	43978942	43991170	126	6	0.047619048	-0.552798494	16	autosome
1	ENSG00000159214	CCDC24	43991358	43996482	67	3	0.044776119	-0.571520635	12	autosome
1	ENSG00000196517	SLC6A9	43991499	44031467	89	3	0.033707865	-0.644410768	11	autosome
1	ENSG00000230615	RP5-1198O20.4	44030442	44115913	193	28	0.14507772	0.089016874	6	autosome
