CHR	GENE_ID.v2	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count	z_score
1	ENSG00000117643	ENSG00000117643.14	MAN1C1	25617467	25786207	716	-0.385417537
1	ENSG00000117682	ENSG00000117682.16	DHDDS	26432281	26471294	637	-0.334444897
1	ENSG00000198830	ENSG00000198830.10	HMGN2	26472449	26475972	352	-0.481620368
1	ENSG00000117676	ENSG00000117676.13	RPS6KA1	26529760	26575030	713	-0.336362017
1	ENSG00000117713	ENSG00000117713.18	ARID1A	26696031	26782104	339	-0.426781666
1	ENSG00000060642	ENSG00000060642.10	PIGV	26787471	26798398	217	-0.603416871
1	ENSG00000204160	ENSG00000204160.11	ZDHHC18	26826709	26857602	591	-0.144558188
1	ENSG00000142751	ENSG00000142751.14	GPN2	26876310	26890297	483	-0.562262689
1	ENSG00000090273	ENSG00000090273.13	NUDC	26902281	26946862	417	-0.383286409
1	ENSG00000090020	ENSG00000090020.10	SLC9A1	27098814	27166981	449	-0.448607488
1	ENSG00000186501	ENSG00000186501.14	TMEM222	27322144	27336400	546	-0.586796913
1	ENSG00000142765	ENSG00000142765.17	SYTL1	27342019	27353932	611	0.149229802
1	ENSG00000158195	ENSG00000158195.10	WASF2	27404225	27490158	309	-0.382662643
1	ENSG00000000938	ENSG00000000938.12	FGR	27612063	27635277	265	-0.729558321
1	ENSG00000117748	ENSG00000117748.9	RPA2	27891523	27914746	472	1.176392508
1	ENSG00000126698	ENSG00000126698.10	DNAJC8	28199455	28233025	422	-0.547902611
1	ENSG00000130770	ENSG00000130770.17	ATPIF1	28236108	28246906	444	3.599106371
1	ENSG00000130766	ENSG00000130766.4	SESN2	28259526	28282491	183	0.216799467
1	ENSG00000204138	ENSG00000204138.12	PHACTR4	28369581	28500369	532	0.478504911
1	ENSG00000180198	ENSG00000180198.15	RCC1	28505942	28539300	527	-0.41096055
1	ENSG00000180098	ENSG00000180098.9	TRNAU1AP	28553084	28578537	448	-0.65694946
1	ENSG00000120656	ENSG00000120656.11	TAF12	28589322	28643085	223	-0.700996574
1	ENSG00000162419	ENSG00000162419.12	GMEB1	28668731	28719353	355	-0.654801635
1	ENSG00000159023	ENSG00000159023.19	EPB41	28887090	29119427	673	0.123966478
1	ENSG00000116350	ENSG00000116350.16	SRSF4	29147742	29181987	601	-0.34627171
1	ENSG00000116353	ENSG00000116353.15	MECR	29192872	29230942	508	-0.564774067
1	ENSG00000162511	ENSG00000162511.7	LAPTM5	30732468	30757820	667	0.434260837
1	ENSG00000060688	ENSG00000060688.12	SNRNP40	31259567	31296782	489	-0.483994
1	ENSG00000121766	ENSG00000121766.15	ZCCHC17	31296981	31364953	483	0.49164223
1	ENSG00000168528	ENSG00000168528.11	SERINC2	31409564	31434680	608	3.66847859
1	ENSG00000142910	ENSG00000142910.15	TINAGL1	31576484	31587686	527	-0.690566904
1	ENSG00000084636	ENSG00000084636.17	COL16A1	31652246	31704319	676	1.159851099
1	ENSG00000121753	ENSG00000121753.12	ADGRB2	31727116	31764893	465	-0.348260943
1	ENSG00000184007	ENSG00000184007.18	PTP4A2	31906420	31944856	247	-0.501572767
1	ENSG00000025800	ENSG00000025800.13	KPNA6	32108037	32176375	333	-0.458821097
1	ENSG00000160058	ENSG00000160058.18	BSDC1	32365102	32394448	351	-0.499564117
1	ENSG00000160094	ENSG00000160094.14	ZNF362	33256544	33300719	592	-0.654929116
1	ENSG00000184389	ENSG00000184389.9	A3GALT2	33306765	33321098	510	-0.552881957
1	ENSG00000134686	ENSG00000134686.18	PHC2	33323622	33431052	697	0.733193609
1	ENSG00000163866	ENSG00000163866.8	SMIM12	34712736	34859816	816	1.770021964
1	ENSG00000188910	ENSG00000188910.7	GJB3	34781188	34786369	463	-0.490620636
1	ENSG00000187513	ENSG00000187513.8	GJA4	34792997	34795747	585	1.214015116
1	ENSG00000116871	ENSG00000116871.15	MAP7D1	36155578	36180849	435	-0.326903342
1	ENSG00000196182	ENSG00000196182.10	STK40	36339623	36385896	515	-0.569075105
1	ENSG00000181817	ENSG00000181817.5	LSM10	36391237	36397892	510	-0.500349854
1	ENSG00000116885	ENSG00000116885.18	OSCP1	36415826	36450451	594	0.291478736
1	ENSG00000116898	ENSG00000116898.11	MRPS15	36455717	36464437	620	-0.405876798
1	ENSG00000119535	ENSG00000119535.17	CSF3R	36466042	36483278	579	-0.187130593
1	ENSG00000163874	ENSG00000163874.10	ZC3H12A	37474551	37484379	597	-0.611947575
1	ENSG00000163875	ENSG00000163875.15	MEAF6	37492574	37514774	628	-0.187959507
1	ENSG00000163877	ENSG00000163877.10	SNIP1	37534448	37554344	608	-0.495640973
1	ENSG00000163879	ENSG00000163879.10	DNALI1	37556918	37566815	563	0.130012053
1	ENSG00000169218	ENSG00000169218.13	RSPO1	37611349	37634923	457	-0.368243685
1	ENSG00000196449	ENSG00000196449.3	YRDC	37802943	37806976	576	-0.671900002
1	ENSG00000188786	ENSG00000188786.9	MTF1	37809566	37859620	637	-0.471135572
1	ENSG00000204084	ENSG00000204084.12	INPP5B	37861091	37947057	672	0.414506097
1	ENSG00000183431	ENSG00000183431.11	SF3A3	37956974	37990921	563	0.903297669
1	ENSG00000183386	ENSG00000183386.9	FHL3	37996769	38005606	421	3.016587083
1	ENSG00000158315	ENSG00000158315.10	RHBDL2	38885806	38941799	631	-0.382319127
1	ENSG00000174574	ENSG00000174574.15	AKIRIN1	38991222	39006059	591	-0.053893645
1	ENSG00000168653	ENSG00000168653.10	NDUFS5	39026317	39034636	222	-0.609673419
1	ENSG00000127603	ENSG00000127603.23	MACF1	39081315	39487177	667	0.022549342
1	ENSG00000183682	ENSG00000183682.7	BMP8A	39491645	39525935	584	4.497710923
1	ENSG00000090621	ENSG00000090621.13	PABPC4	39560815	39576790	524	0.154146011
1	ENSG00000163909	ENSG00000163909.7	HEYL	39624152	39639945	623	-0.418916662
1	ENSG00000116983	ENSG00000116983.12	HPCAL4	39678647	39691689	493	0.912129703
1	ENSG00000084072	ENSG00000084072.16	PPIE	39692181	39763914	654	2.867126617
1	ENSG00000116985	ENSG00000116985.11	BMP8B	39757181	39788861	648	0.410814605
1	ENSG00000049089	ENSG00000049089.13	COL9A2	40300486	40317294	399	-0.058665463
1	ENSG00000084070	ENSG00000084070.11	SMAP2	40344849	40423326	594	-0.261036941
1	ENSG00000117016	ENSG00000117016.9	RIMS3	40620678	40665657	600	-0.468173941
1	ENSG00000066136	ENSG00000066136.20	NFYC	40692066	40771603	636	-0.459959605
1	ENSG00000117013	ENSG00000117013.14	KCNQ4	40784011	40840452	742	-0.42084372
1	ENSG00000179862	ENSG00000179862.6	CITED4	40861050	40862366	421	-0.053920565
1	ENSG00000171793	ENSG00000171793.13	CTPS1	40979334	41012565	450	-0.434684725
1	ENSG00000010803	ENSG00000010803.16	SCMH1	41027199	41242116	612	-0.180779562
1	ENSG00000204060	ENSG00000204060.6	FOXO6	41361921	41383590	530	-0.565271604
1	ENSG00000127129	ENSG00000127129.9	EDN2	41478774	41484673	164	0.180645576
1	ENSG00000127124	ENSG00000127124.14	HIVEP3	41506364	42035925	820	0.115300765
1	ENSG00000198815	ENSG00000198815.8	FOXJ3	42176538	42335877	626	-0.496028123
1	ENSG00000177181	ENSG00000177181.14	RIMKLA	42380794	42422578	616	-0.663745161
1	ENSG00000127125	ENSG00000127125.8	PPCS	42456267	42460414	404	-0.433579471
1	ENSG00000186409	ENSG00000186409.14	CCDC30	42463329	42654664	608	-0.37446289
1	ENSG00000171960	ENSG00000171960.10	PPIH	42658424	42676758	604	0.216617678
1	ENSG00000065978	ENSG00000065978.18	YBX1	42682426	42702349	509	-0.473283952
1	ENSG00000274386	ENSG00000274386.5	TMEM269	42785006	42816619	489	-0.634661227
1	ENSG00000164010	ENSG00000164010.13	ERMAP	42817123	42844989	671	-0.51187795
1	ENSG00000117394	ENSG00000117394.20	SLC2A1	42925374	42959048	617	1.658979252
1	ENSG00000117395	ENSG00000117395.12	EBNA1BP2	43164174	43270936	562	0.763458502
1	ENSG00000243710	ENSG00000243710.7	CFAP57	43172863	43254358	454	0.874394449
1	ENSG00000142949	ENSG00000142949.16	PTPRF	43525186	43623666	660	0.864290907
1	ENSG00000066135	ENSG00000066135.12	KDM4A	43650157	43705515	530	-0.628458803
1	ENSG00000126091	ENSG00000126091.19	ST3GAL3	43705823	43931165	600	-0.267238648
1	ENSG00000117407	ENSG00000117407.16	ARTN	43933319	43937241	336	-0.542328633
1	ENSG00000117408	ENSG00000117408.10	IPO13	43946938	43968022	313	-0.538825843
1	ENSG00000132768	ENSG00000132768.13	DPH2	43969999	43973369	344	-0.569680013
1	ENSG00000117410	ENSG00000117410.13	ATP6V0B	43974486	43978295	312	-0.237184224
1	ENSG00000117411	ENSG00000117411.16	B4GALT2	43978942	43991170	396	-0.492191459
1	ENSG00000159214	ENSG00000159214.12	CCDC24	43991358	43996482	219	-0.697705048
1	ENSG00000196517	ENSG00000196517.11	SLC6A9	43991499	44031467	291	-0.42087474
1	ENSG00000178028	ENSG00000178028.13	DMAP1	44213454	44220681	600	-0.490500085
1	ENSG00000117419	ENSG00000117419.14	ERI3	44221069	44355260	607	-0.605349152
1	ENSG00000162415	ENSG00000162415.6	ZSWIM5	45016398	45306209	600	-0.590967731
1	ENSG00000132781	ENSG00000132781.17	MUTYH	45329162	45338656	447	-0.671431752
1	ENSG00000070759	ENSG00000070759.16	TESK2	45343975	45491166	537	-0.531971832
1	ENSG00000132763	ENSG00000132763.14	MMACHC	45500079	45513382	593	-0.305170502
1	ENSG00000117448	ENSG00000117448.13	AKR1A1	45550542	45570049	523	-0.471396931
1	ENSG00000086015	ENSG00000086015.20	MAST2	45786986	46036124	671	2.043483951
1	ENSG00000079277	ENSG00000079277.19	MKNK1	46557407	46604294	531	1.200043084
1	ENSG00000142961	ENSG00000142961.14	MOB3C	46607714	46616891	508	-0.182416881
1	ENSG00000123472	ENSG00000123472.12	ATPAF1	46632736	46673867	542	0.057973353
1	ENSG00000159658	ENSG00000159658.10	EFCAB14	46675158	46719064	554	0.1101699
1	ENSG00000162367	ENSG00000162367.11	TAL1	47216289	47232220	479	-0.531633324
1	ENSG00000269113	ENSG00000269113.3	TRABD2B	47760527	47996895	725	-0.271472916
1	ENSG00000117834	ENSG00000117834.12	SLC5A9	48222684	48248644	669	0.920902654
1	ENSG00000132122	ENSG00000132122.11	SPATA6	48295371	48472208	625	-0.259647759
1	ENSG00000186094	ENSG00000186094.16	AGBL4	48532854	50023913	591	-0.552548631
1	ENSG00000185104	ENSG00000185104.19	FAF1	50437027	50960263	577	-0.53296619
1	ENSG00000123080	ENSG00000123080.10	CDKN2C	50960744	50974633	157	-0.11330202
1	ENSG00000085832	ENSG00000085832.16	EPS15	51354262	51519328	577	0.047436159
1	ENSG00000117862	ENSG00000117862.11	TXNDC12	52020130	52056124	201	-0.414691164
1	ENSG00000198841	ENSG00000198841.3	KTI12	52032102	52033390	203	-0.518270288
1	ENSG00000157077	ENSG00000157077.14	ZFYVE9	52142093	52346686	142	-0.598200144
1	ENSG00000154222	ENSG00000154222.14	CC2D1B	52345722	52366193	204	-0.520049392
1	ENSG00000134748	ENSG00000134748.12	PRPF38A	52404563	52420839	310	-0.557118417
1	ENSG00000134744	ENSG00000134744.13	ZCCHC11	52408281	52553487	567	-0.585888238
1	ENSG00000116157	ENSG00000116157.5	GPX7	52602371	52609051	541	0.332080062
1	ENSG00000162377	ENSG00000162377.5	COA7	52684450	52698366	414	-0.185537905
1	ENSG00000162378	ENSG00000162378.12	ZYG11B	52726466	52827342	495	-0.285843768
1	ENSG00000116171	ENSG00000116171.17	SCP2	52927228	53051703	375	0.244030043
1	ENSG00000174348	ENSG00000174348.13	PODN	53062051	53085134	638	1.8798155
1	ENSG00000162383	ENSG00000162383.11	SLC1A7	53087178	53142632	568	1.147012497
1	ENSG00000157184	ENSG00000157184.6	CPT2	53196428	53214098	508	-0.498850414
1	ENSG00000162384	ENSG00000162384.13	C1orf123	53214197	53220617	574	-0.251096924
1	ENSG00000162385	ENSG00000162385.10	MAGOH	53226891	53238609	524	-0.548871873
1	ENSG00000157193	ENSG00000157193.15	LRP8	53242363	53328070	615	1.580113608
1	ENSG00000174332	ENSG00000174332.5	GLIS1	53506236	53738106	632	-0.139357888
1	ENSG00000058799	ENSG00000058799.14	YIPF1	53851718	53889834	577	-0.207940874
1	ENSG00000116209	ENSG00000116209.11	TMEM59	54026680	54053504	446	-0.430680036
1	ENSG00000116205	ENSG00000116205.12	TCEANC2	54053586	54112519	451	-0.316866051
1	ENSG00000215883	ENSG00000215883.10	CYB5RL	54169650	54200036	639	-0.608681902
1	ENSG00000157216	ENSG00000157216.15	SSBP3	54225464	54413479	771	-0.073296563
1	ENSG00000162390	ENSG00000162390.17	ACOT11	54542256	54639192	672	1.022494832
1	ENSG00000184313	ENSG00000184313.19	MROH7	54641753	54710266	796	1.382259481
1	ENSG00000243725	ENSG00000243725.6	TTC4	54715821	54742657	479	0.950561601
1	ENSG00000162396	ENSG00000162396.5	PARS2	54756897	54764514	329	-0.779416671
1	ENSG00000006555	ENSG00000006555.10	TTC22	54779711	54801267	590	-0.608752964
1	ENSG00000162398	ENSG00000162398.11	LEXM	54806062	54842252	439	0.24781379
1	ENSG00000116133	ENSG00000116133.11	DHCR24	54849632	54887218	524	3.899314008
1	ENSG00000143001	ENSG00000143001.4	TMEM61	54980791	54992293	309	0.506047931
1	ENSG00000169174	ENSG00000169174.10	PCSK9	55039547	55064852	434	0.662074223
1	ENSG00000162402	ENSG00000162402.13	USP24	55066358	55215113	409	-0.046024229
1	ENSG00000162409	ENSG00000162409.10	PRKAA2	56645321	56715335	730	-0.6151289
1	ENSG00000187889	ENSG00000187889.12	C1orf168	56718803	56819696	503	-0.361891732
1	ENSG00000173406	ENSG00000173406.15	DAB1	56994777	58343403	771	0.265504839
1	ENSG00000177606	ENSG00000177606.6	JUN	58780787	58784327	103	0.679454872
1	ENSG00000172456	ENSG00000172456.17	FGGY	59296637	59810647	806	-0.399228815
1	ENSG00000134709	ENSG00000134709.10	HOOK1	59814785	59876378	213	-0.346637962
1	ENSG00000134716	ENSG00000134716.9	CYP2J2	59893307	59926790	324	0.359133717
1	ENSG00000162599	ENSG00000162599.15	NFIA	60865258	61462793	788	-0.447717753
1	ENSG00000162604	ENSG00000162604.12	TM2D1	61681045	61725423	594	-0.464001884
1	ENSG00000132849	ENSG00000132849.19	PATJ	61742476	62178675	825	0.279751873
1	ENSG00000240563	ENSG00000240563.1	L1TD1	62194830	62212328	402	1.634648891
1	ENSG00000162607	ENSG00000162607.12	USP1	62436296	62451804	511	-0.501095172
1	ENSG00000116641	ENSG00000116641.17	DOCK7	62454297	62688368	412	-0.328472974
1	ENSG00000088035	ENSG00000088035.15	ALG6	63367589	63438562	630	-0.445316222
1	ENSG00000142856	ENSG00000142856.16	ITGB3BP	63440769	63529186	616	0.532298251
1	ENSG00000203965	ENSG00000203965.12	EFCAB7	63523502	63572693	547	-0.354686112
