CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count_male	z_score_male	total_sample_count_female	z_score_female
12	ENSG00000057704.12	TMCC3	94567123	94650562	488	1.35878285390454	256	1.243027817416791
16	ENSG00000059122.16	FLYWCH1	2911936	2951208	513	3.0346822739584174	248	2.6919070921981363
12	ENSG00000060138.12	YBX3	10699088	10723312	457	1.8797078625128127	236	1.6729348583332355
12	ENSG00000060982.14	BCAT1	24810021	24949459	509	2.3510522659813144	256	2.4263622079312235
2	ENSG00000061676.14	NCKAP1	182909114	183038858	351	0.8395779596648631	170	0.7606147692121861
5	ENSG00000063438.16	AHRR	304175	438291	519	1.7272154941270101	263	1.4122432658867834
2	ENSG00000063660.8	GPC1	240435670	240468078	503	4.082510146193215	248	3.2495513491586543
2	ENSG00000064012.21	CASP8	201233442	201287711	433	2.505519109106465	229	1.8080716739088727
3	ENSG00000064225.12	ST3GAL6	98732235	98821201	483	2.1657263930004045	242	1.5827634185741863
16	ENSG00000064270.12	ATP2C2	84368526	84464187	538	3.7433880880099775	269	3.1975282435792263
17	ENSG00000064300.8	NGFR	49502062	49515017	448	1.8710365763912973	239	1.255298157649522
11	ENSG00000064309.14	CDON	125955795	126063335	502	1.280670430161001	255	1.09634681112455
20	ENSG00000064655.18	EYA2	46894623	47188844	495	1.1060413272222942	251	1.048914242530741
19	ENSG00000064666.14	CNN2	1026580	1039068	492	3.1148512663805663	254	2.9708337659084214
19	ENSG00000064687.12	ABCA7	1040100	1065572	510	2.38743326649215	252	2.5308941623728023
1	ENSG00000064886.13	CHI3L2	111200770	111243440	395	3.185274263066696	194	3.5465783588798927
19	ENSG00000064932.15	SBNO2	1107635	1174283	462	1.0304473550964843	230	0.8515655899309201
19	ENSG00000065268.10	WDR18	984270	998438	426	1.2808745690930785	207	1.2015203939309875
6	ENSG00000065308.4	TRAM2	52497401	52576915	502	1.2661765659834927	252	1.4855746179570162
17	ENSG00000065325.12	GLP2R	9822205	9892102	244	1.3438731821481686	106	1.5565774549362017
10	ENSG00000065621.14	GSTO2	104268872	104304945	252	1.0409465178917356	146	2.0655121734205686
10	ENSG00000065809.13	FAM107B	14518556	14774897	463	2.4091257560159067	225	1.855617736680204
4	ENSG00000065882.15	TBC1D1	37891086	38139175	532	1.2795261777259346	266	1.3617867771709362
5	ENSG00000066230.10	SLC9A3	474882	524332	457	5.063917848118591	249	4.55541364146723
2	ENSG00000066248.14	NGEF	232878708	233013272	465	2.4417380443807573	233	2.468758215204739
3	ENSG00000066405.12	CLDN18	137998734	138033655	385	1.8556815508032416	193	1.965717507140744
7	ENSG00000066923.17	STAG3	100177562	100220546	423	1.9329285826031977	208	1.603173066703792
10	ENSG00000067057.16	PFKP	3066332	3137712	541	5.143111092769838	273	4.730085665432166
16	ENSG00000067836.12	ROGDI	4796967	4802950	378	1.5991520065059337	199	1.483210830042508
2	ENSG00000068024.16	HDAC4	239048167	239401011	549	1.5029096808827958	276	1.5673822344765125
2	ENSG00000068615.17	REEP1	86213992	86338083	391	1.794442699982653	203	1.826204607430436
13	ENSG00000068650.18	ATP11A	112690328	112887168	534	1.4620337268540928	266	1.3865443453281523
1	ENSG00000069424.14	KCNAB2	5991465	6101193	510	1.2461125108671771	254	1.0522197044649602
12	ENSG00000069493.14	CLEC2D	9664968	9699555	388	1.2716304427100806	196	1.451975061172223
3	ENSG00000069849.10	ATP1B3	141876123	141926514	462	2.0698644718263703	242	2.3175107512399933
22	ENSG00000070371.15	CLTCL1	19179472	19291716	391	2.5759993043780147	192	1.7403712569083638
2	ENSG00000071082.10	RPL31	101002244	101024032	441	1.2389307306021902	217	1.0758767965166356
4	ENSG00000071127.16	WDR1	10074338	10116949	466	0.9043898103766744	247	0.8666354140266167
3	ENSG00000071282.11	LMCD1	8501706	8574673	518	2.4065470841659846	259	2.083101871048742
8	ENSG00000071894.16	CPSF1	144393242	144409349	301	1.6882321125478144	141	1.7491285881980176
2	ENSG00000071967.11	CYBRD1	171522246	171558133	444	4.829512660326867	234	4.311957847665853
2	ENSG00000072163.19	LIMS2	127638380	127681786	515	2.5530909878182984	259	2.337368787257988
2	ENSG00000072195.14	SPEG	219434845	219498287	467	0.9783787019191776	232	0.7515980930202425
5	ENSG00000072682.18	P4HA2	132191837	132295315	452	1.9107045968859664	238	1.5962555108951582
12	ENSG00000073060.15	SCARB1	124776855	124882668	491	1.3596634658820037	251	1.153862658942206
7	ENSG00000073067.13	CYP2W1	983198	989640	233	2.7624036692521994	113	2.455501646558743
17	ENSG00000073350.13	LLGL2	75525079	75575208	413	1.2797579835057582	203	1.1773855798620174
5	ENSG00000073578.16	SDHA	218240	256700	385	1.931275522929052	198	1.594858024873212
3	ENSG00000073803.13	MAP3K13	185282940	185489097	452	0.9448745326679312	225	0.9775493193709446
4	ENSG00000074211.13	PPP2R2C	6320577	6563600	487	1.0945418335159551	240	1.0543803058855048
17	ENSG00000074370.17	ATP2A3	3923869	3964464	448	1.4650142651686855	218	1.9128130189086057
3	ENSG00000074416.13	MGLL	127689061	127823250	506	2.3992186438600163	252	2.452495196541618
12	ENSG00000074527.11	NTN4	95657806	95791152	518	2.153715893610067	258	2.1711097610389967
10	ENSG00000075073.14	TACR2	69403902	69416867	353	2.1693537056793897	205	1.8641842578246848
22	ENSG00000075234.16	TTC38	46267960	46294008	190	2.256031205811643	94	1.8658930053933973
22	ENSG00000075240.16	GRAMD4	46576011	46679790	486	1.8622143632091763	252	1.7730374926713577
22	ENSG00000075275.16	CELSR1	46360833	46537170	408	1.0927475343300717	199	1.119187491208267
3	ENSG00000075651.15	PLD1	171600404	171810950	456	1.0561426745690732	236	1.2543641085565749
12	ENSG00000076555.15	ACACB	109116594	109268226	540	1.4759618297083172	272	1.6758074026944478
11	ENSG00000076706.16	MCAM	119308528	119321521	447	1.4703552297995337	235	1.1793182322845617
1	ENSG00000076864.19	RAP1GAP	21596214	21669363	473	0.9542673831867532	241	1.4562969958623833
19	ENSG00000076944.15	STXBP2	7636990	7647873	423	2.5865573132182087	207	2.887666267749493
16	ENSG00000077238.13	IL4R	27314101	27364778	468	2.497907262709695	241	2.6586313432153115
2	ENSG00000077380.15	DYNC1I2	171687408	171748420	289	1.4441652302256285	148	1.0024674771594504
1	ENSG00000077585.13	GPR137B	236142504	236221865	486	1.907127448499974	245	1.9290887675162849
22	ENSG00000077942.18	FBLN1	45502237	45601135	499	1.9500603977659268	257	2.1060551490878647
20	ENSG00000077984.5	CST7	24949229	24959928	369	1.6212173201853846	189	1.6075285648055244
7	ENSG00000078053.16	AMPH	38383703	38631567	493	0.966685705179684	244	0.8609533492036493
6	ENSG00000078269.14	SYNJ2	157981886	158099176	525	1.5860630502211868	263	0.7862439189457708
8	ENSG00000078674.17	PCM1	17922839	18029944	372	1.7962935444759092	197	1.339919686514309
3	ENSG00000079257.7	LXN	158645821	158672693	382	1.4203730686468277	196	0.9479817094003262
1	ENSG00000079277.19	MKNK1	46557407	46604294	345	1.3552823222747834	186	1.1517467634500396
2	ENSG00000079308.16	TNS1	217799788	218002995	539	2.7763081399068548	274	3.0993343525843056
8	ENSG00000079459.12	FDFT1	11795572	11839309	488	2.14899545699222	230	2.369096876367576
1	ENSG00000079739.15	PGM1	63593275	63660245	463	1.7176776524461346	242	1.6371891469198017
2	ENSG00000080293.9	SCTR	119439842	119525301	284	2.459368623976963	157	2.1956595186700323
2	ENSG00000080345.17	RIF1	151409882	151508004	413	2.442495775101902	207	2.028686294294783
19	ENSG00000080573.6	COL5A3	9959560	10010471	532	2.4830617865710654	264	1.852624321621196
2	ENSG00000081052.11	COL4A4	227002710	227164113	409	1.2123472757985656	210	1.2346979272972274
3	ENSG00000081154.11	PCNP	101574094	101594437	407	1.6697612409803042	201	1.4925954208672714
2	ENSG00000081320.10	STK17B	196133565	196176503	393	1.1326338632182058	210	0.8583828913075449
3	ENSG00000082781.11	ITGB5	124761947	124901418	447	1.7958997406321595	215	2.012853243965816
9	ENSG00000083067.22	TRPM3	70529062	71446835	530	1.3152916227057665	274	0.7920012852023091
17	ENSG00000083454.21	P2RX5	3672198	3696404	374	1.0035818502968703	164	1.3823174434476522
4	ENSG00000083857.13	FAT1	186587782	186726722	501	1.0817486535451375	237	1.3843506367572598
1	ENSG00000084072.16	PPIE	39692181	39763914	439	3.1050484409144343	215	2.901131759150765
12	ENSG00000084110.10	HAL	95972661	95996365	392	2.362903604843832	208	2.014767637317508
11	ENSG00000084207.15	GSTP1	67583594	67586660	406	4.238846689286748	198	3.756768900824041
1	ENSG00000084636.17	COL16A1	31652246	31704319	450	1.3250538631312376	226	1.0859480310653178
11	ENSG00000085063.14	CD59	33702667	33736445	438	3.6956526394636495	217	2.8664080161449648
11	ENSG00000085117.11	CD82	44564426	44620363	465	1.7532639111489188	241	1.2923423121324384
9	ENSG00000086062.12	B4GALT1	33104081	33167356	431	1.5254183268753998	221	1.2791121830531744
7	ENSG00000086289.11	EPDR1	37920560	37951941	461	1.8711774951977955	226	1.3773424173405144
19	ENSG00000086544.2	ITPKC	40717102	40740855	393	1.1326338632182058	190	1.2132413682276404
19	ENSG00000086548.8	CEACAM6	41750976	41772208	310	1.049142638525448	150	1.8117143158147413
19	ENSG00000087086.14	FTL	48965300	48966878	257	4.9379742897385	134	4.0481676802001925
16	ENSG00000087245.12	MMP2	55389699	55506691	506	2.4135979320361214	255	2.5167516038307056
16	ENSG00000087258.14	GNAO1	56191346	56357457	526	1.2078153410253891	259	1.1168875894536108
14	ENSG00000087303.17	NID2	52010875	52069228	479	0.9611397292956808	228	0.8666354140266167
20	ENSG00000087460.24	GNAS	58840844	58911192	487	4.814673321113883	252	4.4386023309316105
13	ENSG00000088448.14	ANKRD10	110878539	110915069	425	2.159169115367156	217	1.9559684129441195
20	ENSG00000088832.16	FKBP1A	1368977	1393172	494	1.4194477126703422	255	1.4320788530369142
20	ENSG00000088854.12	C20orf194	3249304	3407625	460	1.2603790203124892	232	1.4328580719670825
12	ENSG00000089127.12	OAS1	112906776	112933222	355	2.27490868495166	198	1.9939800327410573
12	ENSG00000089169.14	RPH3A	112570379	112898881	168	1.1131282621090888	57	1.2132413682276404
19	ENSG00000089327.14	FXYD5	35154729	35169883	408	3.161391403900334	211	3.440718495699622
19	ENSG00000089351.14	GRAMD1A	34994783	35026471	409	1.3902426258501352	208	1.033272892007878
16	ENSG00000089486.16	CDIP1	4510674	4538828	291	2.2280013465053616	149	1.2551132284666902
19	ENSG00000090006.17	LTBP4	40592882	40629818	401	2.724635202957657	206	2.2025826355587177
4	ENSG00000090316.15	MAEA	1289850	1340137	409	1.7104542559429603	208	1.128256254457197
12	ENSG00000090382.6	LYZ	69348340	69354234	320	3.5341039631591142	162	3.5239477295677983
3	ENSG00000090530.9	P3H2	189956727	190122437	448	1.2863644482307364	233	0.8859739436601503
19	ENSG00000090661.11	CERS4	8206735	8262421	487	2.170242504628609	245	1.6602923132379404
7	ENSG00000091073.19	DTX2	76461675	76505994	401	1.0190579889719595	210	1.1406191682998073
7	ENSG00000091136.13	LAMB1	107923802	108003255	504	3.0764717048210954	253	3.168208548642109
3	ENSG00000091513.14	TF	133745955	133779006	439	2.856440702288836	221	2.6200537705729716
17	ENSG00000091592.15	NLRP1	5499426	5619424	511	2.793875232255074	250	2.0048893676227784
17	ENSG00000091622.15	PITPNM3	6451469	6556494	519	1.3486994342773988	260	1.3118907551925472
7	ENSG00000091704.9	CPA1	130380338	130388114	222	1.6667817488357055	120	1.4385352384583057
14	ENSG00000092054.12	MYH7	23412737	23435718	308	2.739186100023645	160	2.5498405791153385
14	ENSG00000092094.10	OSGEP	20446667	20455105	395	0.9564481925091936	190	1.0399383911271287
20	ENSG00000092758.15	COL9A3	62816243	62841114	462	1.8178845647403368	235	1.5155997538072568
17	ENSG00000092929.11	UNC13D	75827224	75844717	352	1.5580302855578654	177	1.7752521527230858
22	ENSG00000093000.18	NUP50	45163840	45188015	411	1.963186846928633	217	1.7435325055305892
22	ENSG00000093010.13	COMT	19941606	19969895	516	1.7144189778917842	260	1.8691264815618849
22	ENSG00000093072.15	CECR1	17178789	17221989	505	3.961834397952044	257	3.5922799021210485
3	ENSG00000093167.17	LRRFIP2	37052655	37176532	397	1.9733091988655065	212	2.4884896902880107
1	ENSG00000094963.13	FMO2	171185207	171211230	380	5.30042923454944	188	4.9484736193514385
9	ENSG00000095321.16	CRAT	129094809	129111189	257	3.1260720784739533	137	3.2195079498437846
9	ENSG00000095383.19	TBC1D2	98198998	98255721	448	2.3745042423073355	219	1.9602642466882936
9	ENSG00000095397.13	WHRN	114402079	114505450	489	2.1278353093461626	248	1.9749359046774708
10	ENSG00000095637.21	SORBS1	95311770	95561414	508	1.7272982841663476	264	2.0771304510468585
10	ENSG00000095713.13	CRTAC1	97864999	98030828	466	1.0292983050909952	220	1.16912788314751
19	ENSG00000095932.6	SMIM24	3473985	3480542	61	1.224595808097198	35	1.9559684129441195
6	ENSG00000096088.16	PGC	41736710	41754109	38	2.7155629837343294	15	1.7678108949492786
6	ENSG00000096093.15	EFHC1	52362122	52529886	521	2.2058296376220725	267	1.9453977658657573
6	ENSG00000096433.10	ITPR3	33620364	33696574	489	1.9790434930453609	252	1.6685055382297789
6	ENSG00000096696.13	DSP	7541574	7586717	481	0.832294756644734	243	0.7867591447457226
10	ENSG00000099194.5	SCD	100347123	100364834	436	3.032632884021198	216	2.5178276680676044
10	ENSG00000099204.18	ABLIM1	114431112	114685003	536	2.511945824673438	272	2.2810935359499123
10	ENSG00000099250.17	NRP1	33177491	33336262	520	1.652159318156831	266	1.609362458743096
10	ENSG00000099251.14	HSD17B7P2	38356379	38378505	369	0.8522176647185585	192	0.7799839254763609
1	ENSG00000099260.10	PALMD	99645942	99694541	337	2.812719183072582	172	3.0772559475064014
10	ENSG00000099282.9	TSPAN15	69451472	69507669	453	1.567156213484202	238	1.3748937250188742
10	ENSG00000099290.15	WASHC2A	50067887	50133506	424	1.171146041423414	216	0.9019378723248694
19	ENSG00000099800.7	TIMM13	2425623	2427637	361	1.0930933292265992	175	0.8270233049750709
19	ENSG00000099804.8	CDC34	531711	542092	395	1.951130901683616	189	1.2242447318530696
19	ENSG00000099817.11	POLR2E	1086628	1095380	500	0.9693422276281214	257	0.9529497372517746
19	ENSG00000099821.13	POLRMT	617223	633604	386	1.4149451925930472	213	0.9577618620794681
19	ENSG00000099860.8	GADD45B	2476126	2478259	401	1.853702157518152	204	1.6838778844711877
22	ENSG00000099889.13	ARVCF	19969975	20016808	465	3.4275078260536165	230	3.2280768498222865
22	ENSG00000099974.7	DDTL	23966900	23972532	357	1.7882398697890391	166	1.3948962960317914
22	ENSG00000100058.12	CRYBB2P1	25448104	25520854	367	1.4764758214200917	194	0.8648487853967147
22	ENSG00000100138.13	SNU13	41673929	41690504	371	3.4509996229300026	190	2.807628757552349
22	ENSG00000100181.22	TPTEP1	16601886	16698742	484	4.0234246037518915	245	3.2193117480523408
22	ENSG00000100197.20	CYP2D6	42126498	42130906	341	2.23548029785469	180	1.6214661587310684
22	ENSG00000100225.17	FBXO7	32474675	32498829	417	3.3698723198053	218	2.819076293654401
22	ENSG00000100234.11	TIMP3	32801700	32863043	474	3.26816448883123	224	3.1025532882251845
22	ENSG00000100243.20	CYB5R3	42617839	42649568	457	1.1791816656795422	236	1.031126375342357
22	ENSG00000100266.18	PACSIN2	42858386	43015145	409	2.599931006200809	201	2.8031452974482565
22	ENSG00000100300.17	TSPO	43151513	43163242	402	3.65672674117134	200	3.4141891774041406
22	ENSG00000100302.6	RASD2	35540867	35554001	379	1.7268825864226571	179	1.3042496355318198
22	ENSG00000100304.12	TTLL12	43166621	43187133	518	1.0440678906146483	256	0.8828825681297898
22	ENSG00000100316.15	RPL3	39312881	39320389	377	1.0268548033707885	196	1.115979493324292
22	ENSG00000100336.17	APOL4	36189123	36204840	393	4.2429507316007635	207	3.714832168113288
22	ENSG00000100345.20	MYH9	36281280	36388018	489	1.7707349502242389	251	1.4687079081766024
22	ENSG00000100364.18	KIAA0930	45190337	45240769	473	2.3540743670280584	251	2.334532343571192
22	ENSG00000100376.11	FAM118A	45308967	45341955	407	3.8149955850911246	201	3.655002717225897
22	ENSG00000100422.13	CERK	46684410	46738261	507	1.3450494876121821	264	1.4784474392450906
14	ENSG00000100441.9	KHNYN	24429934	24441834	457	1.3702342648158887	228	1.0399383911271287
14	ENSG00000100605.16	ITPK1	92936913	93116320	511	1.2988232150408547	257	1.2348199490339298
14	ENSG00000100626.16	GALNT16	69259276	69357009	494	1.4489048779217966	240	1.1366992200082475
14	ENSG00000100767.15	PAPLN	73237496	73274640	502	1.4545968002911014	248	1.5500640898504094
14	ENSG00000100906.10	NFKBIA	35401510	35404746	474	1.3494092628003236	226	1.0859480310653178
20	ENSG00000100994.11	PYGB	25248068	25298014	441	4.093203130511241	220	3.5937940809446705
20	ENSG00000100997.18	ABHD12	25294742	25390983	416	3.9048960307617935	207	3.2694351448404766
20	ENSG00000101004.14	NINL	25452704	25585517	381	2.6678207277165527	196	1.6535724018809816
20	ENSG00000101049.14	SGK2	43558967	43588237	380	2.811298770801556	204	3.3625380940330083
20	ENSG00000101144.12	BMP7	57168747	57266629	401	1.0009135505253035	206	0.9558107323404724
20	ENSG00000101190.12	TCFL5	62841159	62861763	255	3.0722257198671334	136	1.0220983787785465
20	ENSG00000101197.12	BIRC7	63235882	63240507	113	1.8463159259380968	58	1.0638422500375442
20	ENSG00000101198.14	NKAIN4	63240783	63272694	369	2.133883757163269	178	1.8714032363172248
20	ENSG00000101204.16	CHRNA4	63343222	63378401	223	2.9602688071797054	74	2.6043490492776944
20	ENSG00000101210.10	EEF1A2	63488012	63499315	438	1.3201811010010582	211	1.193529181258862
20	ENSG00000101224.17	CDC25B	3786771	3806121	419	1.3350483644976194	207	1.2333344670219026
20	ENSG00000101236.16	RNF24	3927308	4015582	379	1.3813243893040144	202	1.3831126032073502
20	ENSG00000101255.10	TRIB3	362834	397559	420	1.5548805367192904	211	1.2559511066599942
20	ENSG00000101265.15	RASSF2	4780022	4823645	516	1.1644948056684146	257	0.7992023490069623
20	ENSG00000101384.11	JAG1	10637683	10674107	504	1.1997463551699128	259	0.9643274397280636
20	ENSG00000101474.11	APMAP	24962924	24992979	359	1.8136732013907093	185	1.8034082632185728
13	ENSG00000102466.15	FGF14	101710803	102402457	533	1.2617441084582883	271	0.8832622679181789
13	ENSG00000102572.14	STK24	98445184	98577151	465	1.3620854263581017	224	1.4561750057703224
13	ENSG00000102683.7	SGCG	23180951	23325165	502	1.1212379242084087	250	1.1092595819673332
13	ENSG00000102699.5	PARP4	24420925	24512810	452	2.0072876033077702	230	1.9109742238583969
13	ENSG00000102760.12	RGCC	41457558	41470882	446	2.748190426860379	236	2.649599941145442
13	ENSG00000102802.9	MEDAG	30906190	30925572	427	1.0371599345885305	196	1.0823799365394988
16	ENSG00000102858.12	MGRN1	4616492	4690974	463	2.3619815671361497	234	1.9760707118751928
16	ENSG00000103154.9	NECAB2	83968631	84002776	329	1.4439356600754267	143	1.0678122965349033
16	ENSG00000103168.16	TAF1C	84177918	84187070	462	2.9360454024346074	232	2.6818347000362883
16	ENSG00000103175.10	WFDC1	84294645	84329851	508	1.6413622233343488	252	1.1719787546322806
16	ENSG00000103187.7	COTL1	84565593	84618077	510	3.229157323765566	267	3.2772992977393542
16	ENSG00000103196.11	CRISPLD2	84819983	84920768	540	4.062955542458255	268	3.75329395796947
16	ENSG00000103245.13	NARFL	729752	741329	355	0.8607158190909981	182	0.8704442706661886
16	ENSG00000103249.17	CLCN7	1444934	1475580	511	1.1279601273592297	253	0.8775952860962145
16	ENSG00000103253.17	HAGHL	726935	735525	361	1.1132482317670678	188	1.0952478519038875
16	ENSG00000103257.8	SLC7A5	87830022	87869488	463	3.069144400332508	237	2.829273348785156
16	ENSG00000103335.21	PIEZO1	88715386	88785211	513	2.2687959774206066	260	1.8691264815618849
15	ENSG00000103740.9	ACSBG1	78167467	78245688	403	1.9301969488850728	204	1.4579043947224808
15	ENSG00000103811.15	CTSH	78921057	78949574	386	4.204676106925072	191	3.5814129401246864
15	ENSG00000103852.12	TTC23	99136322	99251223	464	1.3670088797011586	236	1.4776018417707941
15	ENSG00000103966.10	EHD4	41895943	41972578	472	1.94480876582022	251	1.12762555483934
